time,keyword,message,asin,brand,title,position
"2018-04-29 15:05:13",nespresso,"Frühlingsangebot: Jetzt Kaffeeguthaben sichern",,NESPRESSO,,1
"2018-04-29 15:05:16",nespresso,,B0798YB5S3,Exzact,,2
"2018-04-29 15:05:16",nespresso,,B01NBEBS9K,Yosoo,,3
"2018-04-29 15:05:16",nespresso,,B00TH7D0JU,Fluid-Tec,,4
"2018-04-29 15:05:16",nespresso,,B01AYPKLG8,"Il Caffè italiano",,5
"2018-04-29 15:05:16",nespresso,,B073ZBNPFH,RECAPS,,6
"2018-04-29 15:05:16",nespresso,,B00TH6Y6UI,Fluid-Tec,,7
"2018-04-29 15:05:13","cialde nespresso",,,,,1
"2018-04-29 15:05:13","capsule nespresso","Lavazza Nespresso kompatible Kapseln",,"LUIGI LAVAZZA DEUTSCHLAND GMBH",,1
"2018-04-29 15:05:16","capsule nespresso",,B0784BNZF5,My-TeaCup,,2
"2018-04-29 15:05:20","capsule nespresso",,B077M7V3W7,My-TeaCup,,3
"2018-04-29 15:05:20","capsule nespresso",,B00ELMZVKM,Gourmesso,,4
"2018-04-29 15:05:20","capsule nespresso",,B078RT2KZN,O'ccaffe,,5
"2018-04-29 15:05:20","capsule nespresso",,B00MXKBXXS,Gourmesso,,6
"2018-04-29 15:05:20","capsule nespresso",,B00MXKC2ZG,Gourmesso,,7
"2018-04-29 15:05:17","capsule dolce gusto","Café Royal. Guter Geschmack für Ihre Maschine.",,"Café Royal",,1
"2018-04-29 15:05:20","capsule dolce gusto",,B01N2W332W,Kealive,,2
"2018-04-29 15:05:20","capsule dolce gusto",,B074P87952,Shine,,3
"2018-04-29 15:05:20","capsule dolce gusto",,B074DLSHF4,Fusoris,,4
"2018-04-29 15:05:20","capsule dolce gusto",,B010RLCH2U,AmazonBasics,,5
"2018-04-29 15:05:23","capsule dolce gusto",,B01AW9EKEU,balvi,,6
"2018-04-29 15:05:23","capsule dolce gusto",,B0777GFJ8W,Lictin,,7
"2018-04-29 15:05:21","dolce gusto","Die Kompakte - TASSIMO VIVY 2 jetzt bestellen",,Tassimo,,1
"2018-04-29 15:05:20","dolce gusto",,B01N2W332W,Kealive,,2
"2018-04-29 15:05:23","dolce gusto",,B079BP9XQZ,Blackpoolal,,3
"2018-04-29 15:05:23","dolce gusto",,B01939XAZK,"Springlane Kitchen",,4
"2018-04-29 15:05:23","dolce gusto",,B00LFOR84G,AmbiClean,,5
"2018-04-29 15:05:20","dolce gusto",,B074DLSHF4,Fusoris,,6
"2018-04-29 15:05:23","dolce gusto",,B00NNNLY92,AmbiClean,,7
"2018-04-29 15:05:21","lavazza a modo mio","Lavazza Nespresso kompatible Kapseln",,Lavazza,,1
"2018-04-29 15:05:23","lavazza a modo mio",,B00LWYHBQ4,"Universitea of Tea",,2
"2018-04-29 15:05:23","lavazza a modo mio",,B00DB3RSXU,"Universitea of Tea",,3
"2018-04-29 15:05:26","lavazza a modo mio",,B00CFNC8TQ,Severin,,4
"2018-04-29 15:05:26","lavazza a modo mio",,B00XYBQ0LA,Lavazza,,5
"2018-04-29 15:05:26","lavazza a modo mio",,B0732Y27M7,RECAPS,,6
"2018-04-29 15:05:26","lavazza a modo mio",,B06WW5FZBN,AquaHouse,,7
"2018-04-29 15:05:24","cialde borbone",,,,,1
"2018-04-29 15:05:26","cialde borbone",,B01M2VH8VM,"Caffe' Borbone",,2
"2018-04-29 15:05:24","cialde lavazza a modo mio","Lavazza Nespresso kompatible Kapseln",,Lavazza,,1
"2018-04-29 15:05:24","caffe borbone",,,,,1
"2018-04-29 15:05:26","caffe borbone",,B01M2VH8VM,"Caffe' Borbone",,2
"2018-04-29 15:05:26","caffe borbone",,B01M7S7XR2,"Caffè Bonini",,3
"2018-04-29 15:05:29","caffe borbone",,B01M59M5W8,"Caffe' Borbone",,4
"2018-04-29 15:05:29","caffe borbone",,B019RY0BD0,"Caffè Borbone",,5
"2018-04-29 15:05:27","caffe borbone cialde",,,,,1
"2018-04-29 15:05:27",caffe,"Inspiriert von unseren Starbucks Coffee Houses",,Starbucks,,1
"2018-04-29 15:05:29",caffe,,B01EEUR6IK,"Melitta Professional",,2
"2018-04-29 15:05:27","a modo mio capsule",,,,,1
"2018-04-29 15:05:20","a modo mio capsule",,B00MXKC2ZG,Gourmesso,,2
"2018-04-29 15:05:29","a modo mio capsule",,B00VTQVXCI,"La Compatibile.it",,3
"2018-04-29 15:05:20","a modo mio capsule",,B00MXKBXXS,Gourmesso,,4
"2018-04-29 15:05:29","a modo mio capsule",,B00VTQVFBM,"La Compatibile.it",,5
"2018-04-29 15:05:29","a modo mio capsule",,B075XMS3X4,Torrisi,,6
"2018-04-29 15:05:29","a modo mio capsule",,B075QHCXFC,"Caffè Carbonelli",,7
"2018-04-29 15:05:30","a modo mio macchina caffe",,,,,1
"2018-04-29 15:05:30","a modo mio",,,,,1
"2018-04-29 15:05:35","a modo mio",,B0756KRXX5,"BaristaItaliano DE",,2
"2018-04-29 15:05:23","a modo mio",,B00LWYHBQ4,"Universitea of Tea",,3
"2018-04-29 15:05:35","a modo mio",,B075QJDPLG,"Caffè Carbonelli",,4
"2018-04-29 15:05:35","a modo mio",,B079L7TY8Q,Torrisi,,5
"2018-04-29 15:05:29","a modo mio",,B00VTQVFBM,"La Compatibile.it",,6
"2018-04-29 15:05:29","a modo mio",,B00VTQVXCI,"La Compatibile.it",,7
"2018-04-29 15:05:30","caffe americano",,,,,1
"2018-04-29 15:05:35","caffe americano",,B0095FMJE6,Tassimo,,2
"2018-04-29 15:05:30","capsule lavazza a modo mio","Lavazza Nespresso kompatible Kapseln",,Lavazza,,1
"2018-04-29 15:05:29","capsule lavazza a modo mio",,B00VTQVXCI,"La Compatibile.it",,2
"2018-04-29 15:05:29","capsule lavazza a modo mio",,B00VTQVFBM,"La Compatibile.it",,3
"2018-04-29 15:05:20","capsule lavazza a modo mio",,B00MXKBXXS,Gourmesso,,4
"2018-04-29 15:05:20","capsule lavazza a modo mio",,B00MXKC2ZG,Gourmesso,,5
"2018-04-29 15:05:29","capsule lavazza a modo mio",,B075XMS3X4,Torrisi,,6
"2018-04-29 15:05:35","capsule lavazza a modo mio",,B00VTQVNH8,"La Compatibile.it",,7
"2018-04-29 15:05:30","capsule compatibili nespresso",,,,,1
"2018-04-29 15:05:20","capsule compatibili nespresso",,B00ELMZVKM,Gourmesso,,2
"2018-04-29 15:05:20","capsule compatibili nespresso",,B00MXKBXXS,Gourmesso,,3
"2018-04-29 15:05:35","capsule compatibili nespresso",,B00YOJKTNQ,Dallmayr,,4
"2018-04-29 15:05:20","capsule compatibili nespresso",,B00MXKC2ZG,Gourmesso,,5
"2018-04-29 15:05:35","capsule compatibili nespresso",,B071K8LWXS,"Il Caffè italiano",,6
"2018-04-29 15:05:16","capsule compatibili nespresso",,B0784BNZF5,My-TeaCup,,7
"2018-04-29 15:05:33","capsule nescafe dolce gusto","Café Royal. Guter Geschmack für Ihre Maschine.",,"Café Royal",,1
"2018-04-29 15:05:35","capsule nescafe dolce gusto",,B01JSCL1IA,"Kräuterhandel Sankt Anton",,2
"2018-04-29 15:05:35","capsule nescafe dolce gusto",,B0756FF8DS,Myristretto,,3
"2018-04-29 15:05:35","capsule nescafe dolce gusto",,B071K8LWXS,"Il Caffè italiano",,4
"2018-04-29 15:05:38","capsule nescafe dolce gusto",,B01GCFCX74,"Il Caffè italiano",,5
"2018-04-29 15:05:38","capsule nescafe dolce gusto",,B074DVY8LR,"Il Caffè italiano",,6
"2018-04-29 15:05:38","capsule nescafe dolce gusto",,B0756FCK84,Myristretto,,7
"2018-04-29 15:05:36","cialde caffe",,,,,1
"2018-04-29 15:05:38","cialde caffe",,B07BSPP5QD,Montanina,,2
"2018-04-29 15:05:38","cialde caffe",,B07C9KK3JM,Montanina,,3
"2018-04-29 15:05:38","cialde caffe",,B0763RSN3C,Torrisi,,4
"2018-04-29 15:05:38","cialde caffe",,B01CWAX5LG,"Caffè H24",,5
"2018-04-29 15:05:36",cialde,,,,,1
"2018-04-29 15:05:36","cialde lavazza",,,,,1
"2018-04-29 15:05:40","cialde a modo mio",,,,,1
"2018-04-29 15:05:40","caffe verde",,,,,1
"2018-04-29 15:05:40","caffe in grani",,,,,1
"2018-04-29 15:05:40","caffe vergnano",,,,,1
"2018-04-29 15:05:40","caffe borbone a modo mio",,,,,1
"2018-04-29 15:05:29","caffe borbone a modo mio",,B00VTQVXCI,"La Compatibile.it",,2
"2018-04-29 15:05:29","caffe borbone a modo mio",,B00VTQVFBM,"La Compatibile.it",,3
"2018-04-29 15:05:42","caffe borbone a modo mio",,B01MYBSGSG,"Caffè Bonini",,4
"2018-04-29 15:05:35","caffe borbone a modo mio",,B00VTQVNH8,"La Compatibile.it",,5
"2018-04-29 15:05:42","caffe borbone a modo mio",,B00VTQVFW6,"La Compatibile.it",,6
"2018-04-29 15:05:42","caffe borbone a modo mio",,B00VTQVT6I,"La Compatibile.it",,7
"2018-04-29 15:05:40","caffe solubile",,,,,1
"2018-04-29 15:05:40","caffe lavazza","Lavazza Nespresso kompatible Kapseln",,Lavazza,,1
"2018-04-29 15:05:46","caffe lavazza",,B002OEBMR0,Jacobs,,2
"2018-04-29 15:05:35","caffe lavazza",,B075QJDPLG,"Caffè Carbonelli",,3
"2018-04-29 15:05:46","caffe lavazza",,B07572ZGQ9,"Caffè H24",,4
"2018-04-29 15:05:29","caffe lavazza",,B01EEUR6IK,"Melitta Professional",,5
"2018-04-29 15:05:46","caffe lavazza",,B002OEBMQG,Jacobs,,6
"2018-04-29 15:05:29","caffe lavazza",,B075QHCXFC,"Caffè Carbonelli",,7
"2018-04-29 15:05:43","caffe cialde",,,,,1
"2018-04-29 15:05:43","caffe nespresso","Lavazza Nespresso kompatible Kapseln",,"LUIGI LAVAZZA DEUTSCHLAND GMBH",,1
"2018-04-29 15:05:38","caffe nespresso",,B07BSPP5QD,Montanina,,2
"2018-04-29 15:05:38","caffe nespresso",,B07C9KK3JM,Montanina,,3
"2018-04-29 15:05:20","caffe nespresso",,B00MXKBXXS,Gourmesso,,4
"2018-04-29 15:05:46","caffe nespresso",,B01CH4G6P4,Torrisi,,5
"2018-04-29 15:05:35","caffe nespresso",,B071K8LWXS,"Il Caffè italiano",,6
"2018-04-29 15:05:46","caffe nespresso",,B019S0LUX8,"Il Caffè italiano",,7
"2018-04-29 15:05:43","caffe decaffeinato",,,,,1
"2018-04-29 15:05:46","caffe decaffeinato",,B01B62YQ96,"ORO CAFFE",,2
"2018-04-29 15:05:46","caffe decaffeinato",,B01MYCEUSC,"CAFFE' HAG",,3
"2018-04-29 15:05:29","caffe decaffeinato",,B01EEUR6IK,"Melitta Professional",,4
"2018-04-29 15:05:49","caffe decaffeinato",,B077X8PZ81,"Pasticcerie Nannini",,5
"2018-04-29 15:05:49","caffe decaffeinato",,B01MRA7K5E,"CAFFE' HAG",,6
"2018-04-29 15:05:49","caffe decaffeinato",,B01N9VGAKY,"CAFFE' KIMBO",,7
"2018-04-29 15:05:47","caffe borbone nespresso",,,,,1
"2018-04-29 15:05:20","caffe borbone nespresso",,B00MXKBXXS,Gourmesso,,2
"2018-04-29 15:05:35","caffe borbone nespresso",,B071K8LWXS,"Il Caffè italiano",,3
"2018-04-29 15:05:49","caffe borbone nespresso",,B019S0M1Z4,"Il Caffè italiano",,4
"2018-04-29 15:05:46","caffe borbone nespresso",,B019S0LUX8,"Il Caffè italiano",,5
"2018-04-29 15:05:49","caffe borbone nespresso",,B019S0LWTU,"Caffè italiano",,6
"2018-04-29 15:05:49","caffe borbone nespresso",,B01G6TZ6LQ,"Il Caffè italiano",,7
"2018-04-29 15:05:47","caffe espresso","Inspiriert von unseren Starbucks Coffee Houses",,Starbucks,,1
"2018-04-29 15:05:49","caffe espresso",,B018M2KIBI,"l'Art Caffe",,2
"2018-04-29 15:05:49","caffe espresso",,B072P1M37Z,"The Coffee and Tea Company",,3
"2018-04-29 15:05:52","caffe espresso",,B00LBYQS5A,"J. Hornig",,4
"2018-04-29 15:05:46","caffe espresso",,B01CH4G6P4,Torrisi,,5
"2018-04-29 15:05:52","caffe espresso",,B07581DQZ8,"Burgen Drinks",,6
"2018-04-29 15:05:52","caffe espresso",,B00LBYC62E,"J. Hornig",,7
"2018-04-29 15:05:51","caffe illy",,,,,1
"2018-04-29 15:05:51","caffe borbone respresso",,,,,1
"2018-04-29 15:05:51","caffe italiano",,,,,1
"2018-04-29 15:05:49","caffe italiano",,B019S0LWTU,"Caffè italiano",,2
"2018-04-29 15:05:52","caffe italiano",,B00J8UZ3PU,INNOCENTE,,3
"2018-04-29 15:05:35","caffe italiano",,B071K8LWXS,"Il Caffè italiano",,4
"2018-04-29 15:05:49","caffe italiano",,B01G6TZ6LQ,"Il Caffè italiano",,5
"2018-04-29 15:05:52","caffe italiano",,B01L7KVUHI,"Il Caffè italiano",,6
"2018-04-29 15:05:52","caffe italiano",,B01HMBXJRU,"Il Caffè italiano",,7
"2018-04-29 15:05:51","caffe in cialde",,,,,1
"2018-04-29 15:05:38","caffe in cialde",,B07BSPP5QD,Montanina,,2
"2018-04-29 15:05:38","caffe in cialde",,B07C9KK3JM,Montanina,,3
"2018-04-29 15:05:38","caffe in cialde",,B01CWAX5LG,"Caffè H24",,4
"2018-04-29 15:05:38","caffe in cialde",,B0763RSN3C,Torrisi,,5
"2018-04-29 15:05:54","caffe pellini",,,,,1
"2018-04-29 15:05:54","caffè borbone",,,,,1
"2018-04-29 15:05:26","caffè borbone",,B01M2VH8VM,"Caffe' Borbone",,2
"2018-04-29 15:05:29","caffè borbone",,B019RY0BD0,"Caffè Borbone",,3
"2018-04-29 15:05:26","caffè borbone",,B01M7S7XR2,"Caffè Bonini",,4
"2018-04-29 15:05:55","caffè borbone",,B00QIUNUSU,"Caffè Borbone",,5
"2018-04-29 15:05:55","caffè borbone",,B00QIUNKBC,Borbone,,6
"2018-04-29 15:05:29","caffè borbone",,B01M59M5W8,"Caffe' Borbone",,7
"2018-04-29 15:05:54","caffè borbone cialde",,,,,1
"2018-04-29 15:05:54",caffè,,,,,1
"2018-04-29 15:05:55",caffè,,B00NFD89NE,"Caffè Roen",,2
"2018-04-29 15:05:55",caffè,,B00NOTVPJ4,"Caffè Agust",,3
"2018-04-29 15:05:55",caffè,,B00J7WLNQM,"Caffè Roen",,4
"2018-04-29 15:05:55",caffè,,B00GPUINTO,"Caffe Corsini",,5
"2018-04-29 15:05:59",caffè,,B00GP0HXEA,"Caffe Corsini",,6
"2018-04-29 15:05:57","a modo mio macchina caffè",,,,,1
"2018-04-29 15:05:57","caffè americano",,,,,1
"2018-04-29 15:05:35","caffè americano",,B0095FMJE6,Tassimo,,2
"2018-04-29 15:05:57","cialde caffè",,,,,1
"2018-04-29 15:05:57","caffè verde",,,,,1
"2018-04-29 15:05:57","caffè in grani",,,,,1
"2018-04-29 15:05:57","caffè vergnano",,,,,1
"2018-04-29 15:05:57","caffè borbone a modo mio",,,,,1
"2018-04-29 15:05:29","caffè borbone a modo mio",,B00VTQVXCI,"La Compatibile.it",,2
"2018-04-29 15:05:29","caffè borbone a modo mio",,B00VTQVFBM,"La Compatibile.it",,3
"2018-04-29 15:05:59","caffè borbone a modo mio",,B00MBOZ2N8,"Caffè Bonini",,4
"2018-04-29 15:05:35","caffè borbone a modo mio",,B00VTQVNH8,"La Compatibile.it",,5
"2018-04-29 15:05:42","caffè borbone a modo mio",,B00VTQVFW6,"La Compatibile.it",,6
"2018-04-29 15:05:42","caffè borbone a modo mio",,B00VTQVT6I,"La Compatibile.it",,7
"2018-04-29 15:05:57","caffè solubile",,,,,1
"2018-04-29 15:06:00","caffè lavazza",,,,,1
"2018-04-29 15:06:00","caffè cialde",,,,,1
"2018-04-29 15:05:38","caffè cialde",,B0763RSN3C,Torrisi,,2
"2018-04-29 15:05:38","caffè cialde",,B01CWAX5LG,"Caffè H24",,3
"2018-04-29 15:06:04","caffè cialde",,B018L7K9MW,Mokaor,,4
"2018-04-29 15:06:00","caffè nespresso","Lavazza Nespresso kompatible Kapseln",,"LUIGI LAVAZZA DEUTSCHLAND GMBH",,1
"2018-04-29 15:06:04","caffè nespresso",,B07BBL7Y6L,"Caffè Colosseo",,2
"2018-04-29 15:06:04","caffè nespresso",,B01AYPD566,"Caffè italiano",,3
"2018-04-29 15:06:04","caffè nespresso",,B0798QVJZT,"Caffè Barbera 1870",,4
"2018-04-29 15:06:04","caffè nespresso",,B019S0M6E0,"Il Caffè italiano",,5
"2018-04-29 15:06:04","caffè nespresso",,B07945HFYR,"Caffè Barbera 1870",,6
"2018-04-29 15:05:46","caffè nespresso",,B019S0LUX8,"Il Caffè italiano",,7
"2018-04-29 15:06:00","caffè decaffèinato",,,,,1
"2018-04-29 15:06:03","caffè borbone nespresso",,,,,1
"2018-04-29 15:05:20","caffè borbone nespresso",,B00MXKBXXS,Gourmesso,,2
"2018-04-29 15:06:04","caffè borbone nespresso",,B01AYPD566,"Caffè italiano",,3
"2018-04-29 15:05:46","caffè borbone nespresso",,B019S0LUX8,"Il Caffè italiano",,4
"2018-04-29 15:06:04","caffè borbone nespresso",,B019S0M6E0,"Il Caffè italiano",,5
"2018-04-29 15:06:05","caffè borbone nespresso",,B019S0M76W,"Il Caffè italiano",,6
"2018-04-29 15:06:08","caffè borbone nespresso",,B019S0M2MQ,"Il Caffè italiano",,7
"2018-04-29 15:06:06","caffè espresso","Handgeröstet - Bio Kaffee aus fairem Handel",,VOLLMER,,1
"2018-04-29 15:06:08","caffè espresso",,B079TFVLR8,"chicco di caffè",,2
"2018-04-29 15:06:08","caffè espresso",,B079TH823B,"chicco di caffè",,3
"2018-04-29 15:05:52","caffè espresso",,B00LBYQS5A,"J. Hornig",,4
"2018-04-29 15:05:52","caffè espresso",,B00LBYC62E,"J. Hornig",,5
"2018-04-29 15:06:08","caffè espresso",,B00C725NQA,"Caffè Carbonelli",,6
"2018-04-29 15:06:08","caffè espresso",,B079NSRTBJ,"Mami's Caffè",,7
"2018-04-29 15:06:06","caffè illy","Perfektes Aroma aus 100% Arabica-Kaffee",,illycaffè,,1
"2018-04-29 15:06:08","caffè illy",,B000VOCQQ6,illy,,2
"2018-04-29 15:06:08","caffè illy",,B000SHMQW0,illy,,3
"2018-04-29 15:05:38","caffè illy",,B01CWAX5LG,"Caffè H24",,4
"2018-04-29 15:06:06","caffè borbone respresso",,,,,1
"2018-04-29 15:06:09","caffè italiano",,,,,1
"2018-04-29 15:05:35","caffè italiano",,B071K8LWXS,"Il Caffè italiano",,2
"2018-04-29 15:05:38","caffè italiano",,B01GCFCX74,"Il Caffè italiano",,3
"2018-04-29 15:06:13","caffè italiano",,B071LDYYTW,"Il Caffè italiano",,4
"2018-04-29 15:06:13","caffè italiano",,B01HMAV5H2,"Il Caffè italiano",,5
"2018-04-29 15:05:52","caffè italiano",,B01L7KVUHI,"Il Caffè italiano",,6
"2018-04-29 15:06:09","caffè in cialde",,,,,1
"2018-04-29 15:05:38","caffè in cialde",,B0763RSN3C,Torrisi,,2
"2018-04-29 15:05:38","caffè in cialde",,B01CWAX5LG,"Caffè H24",,3
"2018-04-29 15:06:04","caffè in cialde",,B018L7K9MW,Mokaor,,4
