time,keyword,message,asin,brand,title,position
"2018-05-03 05:26:12","nespresso capsules","New Nespresso™ Vertuo. Coffee redefined.",,"Nespresso™ UK",,1
"2018-05-03 05:26:14","nespresso capsules",,B00OCVQ7QO,"CRU Kafe",,2
"2018-05-03 05:26:14","nespresso capsules",,B00R50M3IK,"CRU Kafe",,3
"2018-05-03 05:26:14","nespresso capsules",,B0716ZL29F,"Real Coffee",,4
"2018-05-03 05:26:14","nespresso capsules",,B00WR1U9YM,"Taylors of Harrogate",,5
"2018-05-03 05:26:14","nespresso capsules",,B00O28K9H0,"CRU Kafe",,6
"2018-05-03 05:26:14","nespresso capsules",,B01MS3FCZ8,"Viaggio Espresso",,7
"2018-05-03 05:26:12",coffee,"Discover the full range of Dolce Gusto coffee pods",,"Nescafé Dolce Gusto",,1
"2018-05-03 05:26:14",coffee,,B00NHXH8D4,NESCAFÉ,,2
"2018-05-03 05:26:14",coffee,,B079211F5P,NESCAFÉ,,3
"2018-05-03 05:26:18",coffee,,B072ZSBG7Q,NESCAFÉ,,4
"2018-05-03 05:26:18",coffee,,B071ZQ6QNG,"Coffee Globetrotter",,5
"2018-05-03 05:26:18",coffee,,B077KSJR9Y,Starbucks,,6
"2018-05-03 05:26:18",coffee,,B077GXSM22,SACRED,,7
"2018-05-03 05:26:18",coffee,,B001SEQMCM,NESCAFÉ,,8
"2018-05-03 05:26:18",coffee,,B074KDMSN4,NESCAFÉ,,9
"2018-05-03 05:26:18",coffee,,B072ZTD13C,NESCAFÉ,,10
"2018-05-03 05:26:16",starbucks,"Discover our range",,Starbucks,,1
"2018-05-03 05:26:18",starbucks,,B077KSJR9Y,Starbucks,,2
"2018-05-03 05:26:18",starbucks,,B077QK7CPQ,Starbucks,,3
"2018-05-03 05:26:22",starbucks,,B077L2NBHH,Starbucks,,4
"2018-05-03 05:26:22",starbucks,,B00KSZB902,Starbucks,,5
"2018-05-03 05:26:22",starbucks,,B077L2HX6L,Starbucks,,6
"2018-05-03 05:26:22",starbucks,,B077Q5B12G,Starbucks,,7
"2018-05-03 05:26:20",nespresso,"Nespresso™ Coffee Machines - Discover Our Range",,"Nespresso™ UK",,1
"2018-05-03 05:26:22",nespresso,,B01ISP0KR6,NESPRESSO,,2
"2018-05-03 05:26:22",nespresso,,B00J4K3338,NESPRESSO,,3
"2018-05-03 05:26:22",nespresso,,B00T4GWHKM,NESPRESSO,,4
"2018-05-03 05:26:14",nespresso,,B00WR1U9YM,"Taylors of Harrogate",,5
"2018-05-03 05:26:22",nespresso,,B01IHRP8HW,NESPRESSO,,6
"2018-05-03 05:26:22",nespresso,,B075DL9FF6,NESPRESSO,,7
"2018-05-03 05:26:24",tassimo,,,,,1
"2018-05-03 05:26:26",tassimo,,B06XTP6JJ3,"CAFE CONCETTO",,2
"2018-05-03 05:26:26",tassimo,,B018BHRM1I,Tassimo,,3
"2018-05-03 05:26:26",tassimo,,B007GIBOTK,Tassimo,,4
"2018-05-03 05:26:26",tassimo,,B007GIBXB4,Tassimo,,5
"2018-05-03 05:26:26",tassimo,,B072L67CHB,Tassimo,,6
"2018-05-03 05:26:26",tassimo,,B01LZQ9K78,"Home Treats",,7
"2018-05-03 05:26:24","tassimo pods","Tassimo Coffee Pod Holders & Descaling Tablets",,Qualtex,,1
"2018-05-03 05:26:26","tassimo pods",,B0797WF7K4,"Tassimo Tdiscs",,2
"2018-05-03 05:26:26","tassimo pods",,B0797WXZJL,"Tassimo Tdiscs",,3
"2018-05-03 05:26:30","tassimo pods",,B0797YGK95,"Tassimo Tdiscs",,4
"2018-05-03 05:26:30","tassimo pods",,B077KH5ZBN,"Caffè di Artisan",,5
"2018-05-03 05:26:30","tassimo pods",,B077SMB92J,"Caffè di Artisan",,6
"2018-05-03 05:26:30","tassimo pods",,B00OA8J8AG,"The London Tea Company",,7
"2018-05-03 05:26:30","tassimo pods",,B072Q7K86H,Tassimo,,8
"2018-05-03 05:26:26","tassimo pods",,B018BHRM1I,Tassimo,,9
