time,keyword,message,asin,brand,title,position
"2018-05-19 05:24:18",Orologio,,,,,1
"2018-05-19 05:24:18","daniel wellington",,,,,1
"2018-05-19 05:24:21","daniel wellington",,B01EMDZX8Y,"Daniel Wellington",,2
"2018-05-19 05:24:21","daniel wellington",,B01N7YCCZW,"Daniel Wellington",,3
"2018-05-19 05:24:21","daniel wellington",,B0183GR2QM,"Daniel Wellington",,4
"2018-05-19 05:24:21","daniel wellington",,B01N47KXCU,MAMONA,,5
"2018-05-19 05:24:21","daniel wellington",,B01BY3N7MO,Comtex,,6
"2018-05-19 05:24:21","daniel wellington",,B01MYM168B,Gemony,,7
"2018-05-19 05:24:21","daniel wellington",,B01GYHNVRQ,Gemony,,8
"2018-05-19 05:24:21","daniel wellington",,B07BLRHZ6V,MEGALITH,,9
"2018-05-19 05:24:25","daniel wellington",,B01GYL5FKI,Gemony,,10
"2018-05-19 05:24:22",casio,,,,,1
"2018-05-19 05:24:25",casio,,B007EBUBSO,Casio,,2
"2018-05-19 05:24:25",casio,,B00HEX9IHM,"LAD WEATHER",,3
"2018-05-19 05:24:25",casio,,B06X91LRXF,"LAD WEATHER",,4
"2018-05-19 05:24:25",casio,,B01NCF1RON,"LAD WEATHER",,5
"2018-05-19 05:24:25",casio,,B00N6PO908,"AccessoriesBySej (venditore italiano)",,6
"2018-05-19 05:24:25",casio,,B01LXC8I1D,Barbie,,7
"2018-05-19 05:24:25",casio,,B0771DHL9V,"LAD WEATHER",,8
"2018-05-19 05:24:25",casio,,B06XDH2MVN,"LAD WEATHER",,9
"2018-05-19 05:24:29",casio,,B01FVL88XI,"LAD WEATHER",,10
"2018-05-19 05:24:26","Orologio uomo",,,,,1
"2018-05-19 05:24:29","Orologio uomo",,B07C7WWJT9,SUNWH,,2
"2018-05-19 05:24:29","Orologio uomo",,B07C7WTQSV,SUNWH,,3
"2018-05-19 05:24:29","Orologio uomo",,B00K67BYV6,"Kronen Soehne",,4
"2018-05-19 05:24:26",swatch,,,,,1
"2018-05-19 05:24:29",swatch,,B00AZWW6Y6,Swatch,,2
"2018-05-19 05:24:29",swatch,,B00NB37OXO,Swatch,,3
"2018-05-19 05:24:29",swatch,,B01C8FIGXW,DIDOFà,,4
"2018-05-19 05:24:26","Orologio donna",,,,,1
"2018-05-19 05:24:35","Orologio donna",,B077G84CHN,"MAM Originals",,2
"2018-05-19 05:24:35","Orologio donna",,B01IA6JWFO,DIDOFà,,3
"2018-05-19 05:24:35","Orologio donna",,B01IA4AV2Y,DIDOFà,,4
"2018-05-19 05:24:30","Orologio uomo elegante","Orologi da polso per uomo",,"Stuhrling Original",,1
"2018-05-19 05:24:35","Orologio uomo elegante",,B07BDRY863,Suunto,,2
"2018-05-19 05:24:35","Orologio uomo elegante",,B074J871W2,KASHIDUN,,3
"2018-05-19 05:24:35","Orologio uomo elegante",,B07B9W4V3Z,Fitbit,,4
"2018-05-19 05:24:35","Orologio uomo elegante",,B074J8R4LH,KASHIDUN,,5
"2018-05-19 05:24:35","Orologio uomo elegante",,B074JC2FV2,KASHIDUN,,6
"2018-05-19 05:24:35","Orologio uomo elegante",,B074P5NWJC,KASHIDUN,,7
"2018-05-19 05:24:33","orologio automatico","Scopri i nuovi prodotti Digital Health",,Nokia,,1
"2018-05-19 05:24:42","orologio automatico",,B00AJD526A,"Akribos XXIV",,2
"2018-05-19 05:24:42","orologio automatico",,B01MR6RWY5,"CHRONO UNIVERSEL",,3
"2018-05-19 05:24:42","orologio automatico",,B01GUM3QMK,Lstbrand,,4
"2018-05-19 05:24:42","orologio automatico",,B075MH5QCZ,Romacci,,5
"2018-05-19 05:24:29","orologio automatico",,B00K67BYV6,"Kronen Soehne",,6
