time,keyword,message,asin,brand,title,position
"2018-06-05 04:43:05","nespresso capsules","New Nespresso™ Vertuo. Coffee redefined.",,"Nespresso™ UK",,1
"2018-06-05 04:43:08","nespresso capsules",,B00K0NQ8US,Cialdissima,,2
"2018-06-05 04:43:08","nespresso capsules",,B00MXKBXXS,Gourmesso,,3
"2018-06-05 04:43:08","nespresso capsules",,B00IHYCT1Y,L'OR,,4
"2018-06-05 04:43:08","nespresso capsules",,B076H7WDWG,Amorcaffe,,5
"2018-06-05 04:43:08","nespresso capsules",,B01NCUQHMF,L'OR,,6
"2018-06-05 04:43:08","nespresso capsules",,B01L24MPAA,"Café Royal",,7
"2018-06-05 04:43:05",coffee,"Discover the Nescafé Gold Blend Store.",,Nescafé,,1
"2018-06-05 04:43:08",coffee,,B01B53BPCM,"NESCAFÉ Original",,2
"2018-06-05 04:43:08",coffee,,B01B50WLWS,"NESCAFÉ Gold Blend",,3
"2018-06-05 04:43:11",coffee,,B0120S5RZC,"Kimera Koffee",,4
"2018-06-05 04:43:11",coffee,,B078HD5JGF,SACRED,,5
"2018-06-05 04:43:11",coffee,,B00WR1U9QU,"Taylors of Harrogate",,6
"2018-06-05 04:43:11",coffee,,B0798Y3VMN,Rösttrommel,,7
"2018-06-05 04:43:11",coffee,,B074VJVZX7,"Taylors of Harrogate",,8
"2018-06-05 04:43:11",coffee,,B01LZVWV28,VASCOBELO,,9
"2018-06-05 04:43:11",coffee,,B077CQKCTB,"Discover Coffee",,10
"2018-06-05 04:43:09",starbucks,,,,,1
"2018-06-05 04:43:11",starbucks,,B007M8EQ6M,"Taylors of Harrogate",,2
"2018-06-05 04:43:11",starbucks,,B01IPQSCN2,Ababalaya,,3
"2018-06-05 04:43:13",nespresso,"Nespresso™ Coffee Machines - Discover Our Range",,"Nespresso™ UK",,1
"2018-06-05 04:43:15",nespresso,,B00J4K3338,NESPRESSO,,2
"2018-06-05 04:43:15",nespresso,,B01MZANEBC,NESPRESSO,,3
"2018-06-05 04:43:15",nespresso,,B075JLYF1M,Magimix,,4
"2018-06-05 04:43:11",nespresso,,B00WR1U9QU,"Taylors of Harrogate",,5
"2018-06-05 04:43:15",nespresso,,B075DL9FF6,NESPRESSO,,6
"2018-06-05 04:43:15",nespresso,,B00IUGBHOE,NESPRESSO,,7
"2018-06-05 04:43:13",tassimo,"Try a variety pack of our most loved hot drinks",,Tassimo,,1
"2018-06-05 04:43:15",tassimo,,B00DQ8LILS,Tassimo,,2
"2018-06-05 04:43:15",tassimo,,B00CWZRKMC,Jacobs,,3
"2018-06-05 04:43:15",tassimo,,B00F757G00,Tassimo,,4
"2018-06-05 04:43:19",tassimo,,B007F8TU88,Tassimo,,5
"2018-06-05 04:43:19",tassimo,,B072BVGPPN,"Neo ®",,6
"2018-06-05 04:43:19",tassimo,,B00O24ZUQY,Tassimo,,7
