time,keyword,message,asin,brand,title,position
"2018-05-25 16:38:12","nespresso capsules",,,,,1
"2018-05-25 16:38:15","nespresso capsules",,B00O28K970,"CRU Kafe",,2
"2018-05-25 16:38:15","nespresso capsules",,B076H7WDWG,Amorcaffe,,3
"2018-05-25 16:38:15","nespresso capsules",,B00IHYCT1Y,L'OR,,4
"2018-05-25 16:38:15","nespresso capsules",,B00R50M3IK,"CRU Kafe",,5
"2018-05-25 16:38:15","nespresso capsules",,B00O28K8XU,"CRU Kafe",,6
"2018-05-25 16:38:15","nespresso capsules",,B00MXKBXXS,Gourmesso,,7
"2018-05-25 16:38:12",coffee,,,,,1
"2018-05-25 16:38:12",starbucks,,,,,1
"2018-05-25 16:38:12",nespresso,"Nespresso™ Coffee Machines - Discover Our Range",,"Nespresso™ UK",,1
"2018-05-25 16:38:26",nespresso,,B00J4K3338,NESPRESSO,,2
"2018-05-25 16:38:26",nespresso,,B06WWNY55G,NESPRESSO,,3
"2018-05-25 16:38:26",nespresso,,B01MZANEBC,NESPRESSO,,4
"2018-05-25 16:38:26",nespresso,,B00WR1U9QU,"Taylors of Harrogate",,5
"2018-05-25 16:38:26",nespresso,,B075JLYF1M,Magimix,,6
"2018-05-25 16:38:26",nespresso,,B075DL9FF6,NESPRESSO,,7
"2018-05-25 16:38:16",tassimo,"Try a variety pack of our most loved hot drinks",,Tassimo,,1
"2018-05-25 16:38:16","tassimo pods","Try a variety pack of our most loved hot drinks",,Tassimo,,1
"2018-05-25 16:38:26","tassimo pods",,B07BHNL9V8,Tassimo,,2
"2018-05-25 16:38:26","tassimo pods",,B003BZYWPK,Tassimo,,3
"2018-05-25 16:38:26","tassimo pods",,B008OQBYAC,Tassimo,,4
"2018-05-25 16:38:26","tassimo pods",,B007F8TVSW,Tassimo,,5
"2018-05-25 16:38:33","tassimo pods",,B077TCV65W,"Caffè di Artisan",,6
"2018-05-25 16:38:33","tassimo pods",,B072L67CHB,Tassimo,,7
"2018-05-25 16:38:33","tassimo pods",,B074121MFK,Tassimo,,8
"2018-05-25 16:38:33","tassimo pods",,B00DQ8LILS,Tassimo,,9
"2018-05-25 16:38:33","tassimo pods",,B007F8TU88,Tassimo,,10
"2018-05-25 16:38:27","costa coffee","Ground coffee slow roasted for flavour",,"Taylors of Harrogate",,1
"2018-05-25 16:38:33","costa coffee",,B076F8GBYD,202Prints,,2
"2018-05-25 16:38:33","costa coffee",,B01ETJD79S,,,3
"2018-05-25 16:38:33","costa coffee",,B01N52S30K,Aicok,,4
"2018-05-25 16:38:33","costa coffee",,B0798Z1T76,Exzact,,5
"2018-05-25 16:38:33","costa coffee",,B01MYF2QRQ,"Kiss Me Organics",,6
"2018-05-25 16:38:37","costa coffee",,B0170ALWUY,"E Bargains UK",,7
"2018-05-25 16:38:35","dolce gusto","Café Royal. Enjoy our coffee variety.",,"Delica AG",,1
"2018-05-25 16:38:37","dolce gusto",,B01N8WS1CR,"Zinc Products",,2
"2018-05-25 16:38:37","dolce gusto",,B078S4VHHC,FilterLogic,,3
"2018-05-25 16:38:37","dolce gusto",,B00LUJLOT6,AmbiClean,,4
"2018-05-25 16:38:37","dolce gusto",,B06XFYSNYJ,BESTOPE,,5
"2018-05-25 16:38:37","dolce gusto",,B0170ALWUY,"E Bargains UK",,6
"2018-05-25 16:38:33","dolce gusto",,B0798Z1T76,Exzact,,7
"2018-05-25 16:38:35","dolce gusto pods","Café Royal. Enjoy our coffee variety.",,"Delica AG",,1
"2018-05-25 16:38:37","dolce gusto pods",,B074P635MD,"Café Royal",,2
"2018-05-25 16:38:37","dolce gusto pods",,B074P5XG2F,"Café Royal",,3
"2018-05-25 16:38:42","dolce gusto pods",,B074P5WN7T,"Café Royal",,4
"2018-05-25 16:38:42","dolce gusto pods",,B075GNVXPH,CaféPod,,5
"2018-05-25 16:38:42","dolce gusto pods",,B074P62TQR,"Café Royal",,6
"2018-05-25 16:38:42","dolce gusto pods",,B072N2WMXN,"Il Caffè italiano",,7
"2018-05-25 16:38:39",espresso,,,,,1
"2018-05-25 16:38:39","coffee beans","Discover our range of delicious coffee beans",,"Brown Bear",,1
"2018-05-25 16:38:42","coffee beans",,B00OJ9WEOI,"Brown Bear",,2
"2018-05-25 16:38:42","coffee beans",,B0759J7GF5,UCC,,3
"2018-05-25 16:38:42","coffee beans",,B00GM42SS0,"Gimoka Coffee UK",,4
"2018-05-25 16:38:42","coffee beans",,B077GXSM22,Sacred,,5
"2018-05-25 16:38:46","coffee beans",,B078HD5JGF,SACRED,,6
"2018-05-25 16:38:46","coffee beans",,B0797GHFRD,Frequency,,7
"2018-05-25 16:38:46","coffee beans",,B00V3SDCPS,"Brown Bear",,8
"2018-05-25 16:38:46","coffee beans",,B00CZ2KYRU,"Cafe Don Pablo",,9
"2018-05-25 16:38:46","coffee beans",,B0081R32FY,"The coffee and tea company",,10
"2018-05-25 16:38:43","coffee pods","Good strong coffee, Nespresso® compatible",,Cafepod,,1
"2018-05-25 16:38:37","coffee pods",,B074P635MD,"Café Royal",,2
"2018-05-25 16:38:37","coffee pods",,B074P5XG2F,"Café Royal",,3
"2018-05-25 16:38:15","coffee pods",,B076H7WDWG,Amorcaffe,,4
"2018-05-25 16:38:42","coffee pods",,B074P5WN7T,"Café Royal",,5
"2018-05-25 16:38:42","coffee pods",,B074P62TQR,"Café Royal",,6
"2018-05-25 16:38:46","coffee pods",,B00IHXQ1QY,L'OR,,7
"2018-05-25 16:38:43","lavazza coffee pod",,,,,1
"2018-05-25 16:38:46","lavazza coffee pod",,B00T6M5E4U,cialdissima,,2
"2018-05-25 16:38:15","lavazza coffee pod",,B00IHYCT1Y,L'OR,,3
"2018-05-25 16:38:46","lavazza coffee pod",,B01NCUQHMF,L'OR,,4
"2018-05-25 16:38:50","lavazza coffee pod",,B00S9LYDWI,PureGusto,,5
"2018-05-25 16:38:46","lavazza coffee pod",,B00IHXQ1QY,L'OR,,6
"2018-05-25 16:38:50","lavazza coffee pod",,B00IHXQ3L2,L'OR,,7
