time,keyword,message,asin,brand,title,position
"2018-07-16 17:40:56",keyword,,,,,1
"2018-07-16 17:40:56","capsule caffè","Capsule compatibili Nespresso®. Qualità italiana.",,"Caffè Carracci",,1
"2018-07-16 17:40:59","capsule caffè",,B07BTJQRMC,"Caffè Carracci",,2
"2018-07-16 17:40:59","capsule caffè",,B00E0HITK2,"Health Spark Ltd",,3
"2018-07-16 17:40:59","capsule caffè",,B01MT9RLQB,"Rush Pharma",,4
"2018-07-16 17:40:59","capsule caffè",,B00LM3G9RW,Illy,,5
"2018-07-16 17:40:59","capsule caffè",,B071K8LWXS,"Il Caffè Italiano",,6
"2018-07-16 17:40:59","capsule caffè",,B01G6U1U1U,"Il Caffè Italiano",,7
"2018-07-16 17:40:56","caffè lavazza",,,,,1
"2018-07-16 17:40:59","caffè lavazza",,B071X6XTTD,"Il Caffè Italiano",,2
"2018-07-16 17:41:03","caffè lavazza",,B07DKH2GMQ,"Il Caffè Italiano",,3
"2018-07-16 17:41:03","caffè lavazza",,B06XKYTVST,Illy,,4
"2018-07-16 17:41:03","caffè lavazza",,B01N1Q5440,Biotiva,,5
"2018-07-16 17:40:59","caffè lavazza",,B07BTJQRMC,"Caffè Carracci",,6
"2018-07-16 17:41:03","caffè lavazza",,B005J3I4BU,"Chupa Chups",,7
"2018-07-16 17:41:00","caffè macinato","Capsule compatibili Nespresso®. Qualità italiana.",,"Caffè Carracci",,1
"2018-07-16 17:41:03","caffè macinato",,B07BR3X3MC,"Presto Coffee Roasters",,2
"2018-07-16 17:41:03","caffè macinato",,B0120S5RZC,,,3
"2018-07-16 17:41:03","caffè macinato",,B075FYGZS9,Probios,,4
"2018-07-16 17:41:03","caffè macinato",,B06XNKFLBK,Illy,,5
"2018-07-16 17:41:03","caffè macinato",,B06XKC8SV1,Illy,,6
"2018-07-16 17:41:07","caffè macinato",,B07CVFNLNS,"Happy Belly",,7
"2018-07-16 17:41:04",lavazza,,,,,1
"2018-07-16 17:41:07",lavazza,,B06XYLVV2K,"Lavazza A Modo Mio",,2
"2018-07-16 17:41:07",lavazza,,B072QDXPXY,"Lavazza A Modo Mio",,3
"2018-07-16 17:41:07",lavazza,,B00SJN3FGQ,"SELF CAP",,4
"2018-07-16 17:41:04","caffè in grani","Nannini Caffè e Pasticceria",,Nannini,,1
"2018-07-16 17:41:07","caffè in grani",,B01G9BR6QE,"Emily's Coffee",,2
"2018-07-16 17:41:07","caffè in grani",,B075JN2KYT,"Cooper's Cask Coffee",,3
"2018-07-16 17:41:07","caffè in grani",,B07124Z2Q2,"Cooper's Cask Coffee",,4
"2018-07-16 17:41:03","caffè in grani",,B06XKYTVST,Illy,,5
"2018-07-16 17:41:03","caffè in grani",,B06XKC8SV1,Illy,,6
"2018-07-16 17:41:07","caffè in grani",,B07CGMKL11,"Aroma Club",,7
"2018-07-16 17:41:08",caffè,"Capsule compatibili Nespresso®. Qualità italiana.",,"Caffè Carracci",,1
"2018-07-16 17:41:11",caffè,,B01NCHN98X,Illy,,2
"2018-07-16 17:41:11",caffè,,B01H8MYITQ,RECAPS,,3
"2018-07-16 17:41:11",caffè,,B079P76RN7,Aicook,,4
"2018-07-16 17:41:11",caffè,,B079J8PCYL,Aicook,,5
"2018-07-16 17:41:11",caffè,,B01HJQ4ISW,Chrasy,,6
"2018-07-16 17:41:11",caffè,,B019S0LVPU,"Il Caffè Italiano",,7
"2018-07-16 17:41:08","caffè espresso","Capsule compatibili Nespresso®. Qualità italiana.",,"Caffè Carracci",,1
"2018-07-16 17:40:59","caffè espresso",,B00LM3G9RW,Illy,,2
"2018-07-16 17:41:11","caffè espresso",,B075X12GG1,"Caffè Trombetta",,3
"2018-07-16 17:40:59","caffè espresso",,B07BTJQRMC,"Caffè Carracci",,4
"2018-07-16 17:41:11","caffè espresso",,B07CTT5VM7,"Happy Belly",,5
"2018-07-16 17:41:15","caffè espresso",,B07CTSZXSX,"Happy Belly",,6
"2018-07-16 17:41:15","caffè espresso",,B07BLDZ2DZ,"Must Espresso Italiano",,7
"2018-07-16 17:41:12","cialde lavazza","Capsule Lavazza, il gusto del vero caffè Italiano",,Lavazza,,1
"2018-07-16 17:41:15","cialde lavazza",,B06XY9MWLD,"Lavazza A Modo Mio",,2
"2018-07-16 17:41:07","cialde lavazza",,B072QDXPXY,"Lavazza A Modo Mio",,3
"2018-07-16 17:41:03","cialde lavazza",,B06XKYTVST,Illy,,4
"2018-07-16 17:41:03","cialde lavazza",,B005J3I4BU,"Chupa Chups",,5
"2018-07-16 17:41:15","cialde lavazza",,B072N2WMXN,"Il Caffè Italiano",,6
"2018-07-16 17:41:15","cialde lavazza",,B0786LM45F,"Il Caffè Italiano",,7
"2018-07-16 17:41:12","capsule caffè italy","Capsule compatibili Nespresso®. Qualità italiana.",,"Caffè Carracci",,1
"2018-07-16 17:40:59","capsule caffè italy",,B00LM3G9RW,Illy,,2
"2018-07-16 17:41:15","capsule caffè italy",,B06XKGVB7P,Illy,,3
"2018-07-16 17:41:15","capsule caffè italy",,B06XK8VXQS,Illy,,4
"2018-07-16 17:41:15","capsule caffè italy",,B01LB2EZCY,"Cute Nutrition",,5
"2018-07-16 17:41:18","capsule caffè italy",,B071VRK528,"Il Caffè Italiano",,6
"2018-07-16 17:41:19","capsule caffè italy",,B074J8KY9B,"Il Caffè Italiano",,7
"2018-07-16 17:41:16",espresso,,,,,1
"2018-07-16 17:41:03",espresso,,B06XKYTVST,Illy,,2
"2018-07-16 17:41:19",espresso,,B00E9CX1NI,Kamira,,3
"2018-07-16 17:41:19",espresso,,B01N772B6E,ZNYSTAR,,4
"2018-07-16 17:41:03",espresso,,B06XNKFLBK,Illy,,5
"2018-07-16 17:41:19",espresso,,B01N0FPJG7,ZNYSTAR,,6
"2018-07-16 17:41:19",espresso,,B01MYOKQ8P,ZNYSTAR,,7
"2018-07-16 17:41:16",nespresso,"Capsule monorigine Nespresso Compatibili",,"Coffee Hat",,1
"2018-07-16 17:41:19",nespresso,,B01N97DB4W,HiveNets,,2
"2018-07-16 17:41:19",nespresso,,B010RLCH2U,AmazonBasics,,3
"2018-07-16 17:41:24",nespresso,,B06XJ63M45,RECAPS,,4
"2018-07-16 17:41:24",nespresso,,B0741DLLFK,U-CAP,,5
"2018-07-16 17:41:24",nespresso,,B075ZS9FNN,RECAPS,,6
"2018-07-16 17:41:24",nespresso,,B01KZIRDBK,U-CAP,,7
"2018-07-16 17:41:21","cialde nespresso","Capsule monorigine Nespresso Compatibili",,"Coffee Hat",,1
"2018-07-16 17:41:24","cialde nespresso",,B00MXKC1UC,Gourmesso,,2
"2018-07-16 17:41:19","cialde nespresso",,B010RLCH2U,AmazonBasics,,3
"2018-07-16 17:41:03","cialde nespresso",,B06XKYTVST,Illy,,4
"2018-07-16 17:41:24","cialde nespresso",,B078YQ49Q3,HiveNets,,5
"2018-07-16 17:41:24","cialde nespresso",,B076L7MS1T,KitchenBoss,,6
"2018-07-16 17:41:24","cialde nespresso",,B015AKJX2U,"Peak Coffee",,7
"2018-07-16 17:41:21","nespresso capsule","Must Espresso capsule compatibili Nespresso",,"Must Espresso Italiano",,1
"2018-07-16 17:41:28","nespresso capsule",,B019S0LUX8,"Il Caffè Italiano",,2
"2018-07-16 17:41:28","nespresso capsule",,B019S0M19A,"Il Caffè Italiano",,3
"2018-07-16 17:41:03","nespresso capsule",,B06XKYTVST,Illy,,4
"2018-07-16 17:41:28","nespresso capsule",,B01DWIP89E,Legato,,5
"2018-07-16 17:41:28","nespresso capsule",,B01M06B8D1,Legato,,6
"2018-07-16 17:41:28","nespresso capsule",,B01C9R6ZOG,Legato,,7
"2018-07-16 17:41:25","a modo mio",,,,,1
"2018-07-16 17:41:07","a modo mio",,B06XYLVV2K,"Lavazza A Modo Mio",,2
"2018-07-16 17:41:07","a modo mio",,B072QDXPXY,"Lavazza A Modo Mio",,3
"2018-07-16 17:41:28","a modo mio",,B019S0M186,"Il Caffè Italiano",,4
"2018-07-16 17:41:28","a modo mio",,B019S0M2N0,"Il Caffè Italiano",,5
"2018-07-16 17:41:28","a modo mio",,B078L21348,WhiFan,,6
"2018-07-16 17:41:28","a modo mio",,B00I2NKGLK,"Caffè Nibes",,7
"2018-07-16 17:41:30","lavazza a modo mio",,,,,1
"2018-07-16 17:41:07","lavazza a modo mio",,B06XYLVV2K,"Lavazza A Modo Mio",,2
"2018-07-16 17:41:07","lavazza a modo mio",,B072QDXPXY,"Lavazza A Modo Mio",,3
"2018-07-16 17:41:32","lavazza a modo mio",,B0714JVV43,V.I.P.,,4
