time,keyword,message,asin,brand,title,position
"2018-05-29 06:09:48","nespresso capsules","Nespresso™ Coffee Machines - Discover Our Range",,"Nespresso™ UK",,1
"2018-05-29 06:09:50","nespresso capsules",,B01D4TJF2W,CafePod,,2
"2018-05-29 06:09:50","nespresso capsules",,B01MS3FCZ8,"Viaggio Espresso",,3
"2018-05-29 06:09:50","nespresso capsules",,B076H7WDWG,Amorcaffe,,4
"2018-05-29 06:09:50","nespresso capsules",,B00IHYCT1Y,L'OR,,5
"2018-05-29 06:09:50","nespresso capsules",,B07D3BVM8N,L'OR,,6
"2018-05-29 06:09:50","nespresso capsules",,B00MXKBXXS,Gourmesso,,7
"2018-05-29 06:09:48",coffee,"Discover the Nescafé Gold Blend Store.",,Nescafé,,1
"2018-05-29 06:09:50",coffee,,B01B50WLWS,"NESCAFÉ Gold Blend",,2
"2018-05-29 06:09:50",coffee,,B01B53BPCM,"NESCAFÉ Original",,3
"2018-05-29 06:10:04",coffee,,B0120S5RZC,"Kimera Koffee",,4
"2018-05-29 06:10:04",coffee,,B073H198Z9,"Coffee Globetrotter",,5
"2018-05-29 06:10:04",coffee,,B00CZ2KYRU,"Cafe Don Pablo",,6
"2018-05-29 06:10:04",coffee,,B078HD5JGF,SACRED,,7
"2018-05-29 06:10:04",coffee,,B01N9WH808,"San Agustín algunos vicios son inconfesables",,8
"2018-05-29 06:10:04",coffee,,B0798Y3VMN,Rösttrommel,,9
"2018-05-29 06:10:04",coffee,,B01LZVWV28,VASCOBELO,,10
"2018-05-29 06:09:52",starbucks,,,,,1
"2018-05-29 06:10:04",starbucks,,B007M8EQ6M,"Taylors of Harrogate",,2
"2018-05-29 06:10:04",starbucks,,B01IPQSCN2,Ababalaya,,3
"2018-05-29 06:09:55",nespresso,"Nespresso™ Coffee Machines - Discover Our Range",,"Nespresso™ UK",,1
"2018-05-29 06:10:04",nespresso,,B00J4K3338,NESPRESSO,,2
"2018-05-29 06:10:09",nespresso,,B075JLYF1M,Magimix,,3
"2018-05-29 06:10:09",nespresso,,B01MZANEBC,NESPRESSO,,4
"2018-05-29 06:10:09",nespresso,,B00WR1U9QU,"Taylors of Harrogate",,5
