time,keyword,message,asin,brand,title,position
"2018-05-03 04:42:26",Orologio,,,,,1
"2018-05-03 04:42:26","daniel wellington",,,,,1
"2018-05-03 04:42:28","daniel wellington",,B01GKMAT9S,WD-40,,2
"2018-05-03 04:42:28","daniel wellington",,B01N47KXCU,MAMONA,,3
"2018-05-03 04:42:28","daniel wellington",,B01GYL5GUM,Gemony,,4
"2018-05-03 04:42:28","daniel wellington",,B01FJPHIIC,MAMONA,,5
"2018-05-03 04:42:28","daniel wellington",,B071CGG1B5,BUREI,,6
"2018-05-03 04:42:28","daniel wellington",,B01N0KHXKC,MAMONA,,7
"2018-05-03 04:42:28","daniel wellington",,B01GYKEZX2,Gemony,,8
"2018-05-03 04:42:28","daniel wellington",,B071VJ9JKW,Gemony,,9
"2018-05-03 04:42:32","daniel wellington",,B071JBHSS7,MAMONA,,10
"2018-05-03 04:42:29",casio,,,,,1
"2018-05-03 04:42:32",casio,,B007EBUBSO,Casio,,2
"2018-05-03 04:42:32",casio,,B000VE5X4S,Casio,,3
"2018-05-03 04:42:32",casio,,B072HML7LC,"LAD WEATHER",,4
"2018-05-03 04:42:32",casio,,B00HEX9IHM,"LAD WEATHER",,5
"2018-05-03 04:42:32",casio,,B06X91LRXF,"LAD WEATHER",,6
"2018-05-03 04:42:32",casio,,B01M09OGXO,Barbie,,7
"2018-05-03 04:42:32",casio,,B06XDH2MVN,"LAD WEATHER",,8
"2018-05-03 04:42:32",casio,,B0771DHL9V,"LAD WEATHER",,9
"2018-05-03 04:42:35",casio,,B01NCF1RON,"LAD WEATHER",,10
"2018-05-03 04:42:33","Orologio uomo",,,,,1
"2018-05-03 04:42:35","Orologio uomo",,B01N7QIT9N,"Henry Jay",,2
"2018-05-03 04:42:35","Orologio uomo",,B072N661WP,"Henry Jay",,3
"2018-05-03 04:42:35","Orologio uomo",,B072V53CFK,Comtex,,4
"2018-05-03 04:42:33",swatch,,,,,1
"2018-05-03 04:42:35",swatch,,B00AZWW6Y6,Swatch,,2
"2018-05-03 04:42:35",swatch,,B01C8FIGXW,DIDOFà,,3
"2018-05-03 04:42:35",swatch,,B01IA6NTGC,DIDOFà,,4
"2018-05-03 04:42:33","Orologio donna",,,,,1
"2018-05-03 04:42:41","Orologio donna",,B01IA7R9P8,DIDOFà,,2
"2018-05-03 04:42:41","Orologio donna",,B01IBINR0C,DIDOFà,,3
"2018-05-03 04:42:41","Orologio donna",,B01IA6QDAG,DIDOFà,,4
"2018-05-03 04:42:36","Orologio uomo elegante",,,,,1
"2018-05-03 04:42:41","Orologio uomo elegante",,B07BVSPSM2,LIGE,,2
"2018-05-03 04:42:41","Orologio uomo elegante",,B07BMS6L3W,LIGE,,3
"2018-05-03 04:42:41","Orologio uomo elegante",,B07B9BJ1JW,"June & Ed",,4
"2018-05-03 04:42:41","Orologio uomo elegante",,B06WV7MQ13,BINZI,,5
"2018-05-03 04:42:41","Orologio uomo elegante",,B010DHJ70I,Detomaso,,6
"2018-05-03 04:42:41","Orologio uomo elegante",,B077BS6XDK,MEGALITH,,7
"2018-05-03 04:42:39","orologio automatico","L'ora del giorno e sempre in vista",,technoline,,1
"2018-05-03 04:42:47","orologio automatico",,B078C5PL2Z,BINLUN,,2
"2018-05-03 04:42:47","orologio automatico",,B077Z7NWJX,"PRINCE GERA",,3
"2018-05-03 04:42:47","orologio automatico",,B078TM9L96,Globenfeld,,4
"2018-05-03 04:42:47","orologio automatico",,B076CLF85J,"ASWAN Watch",,5
