time,keyword,message,asin,brand,title,position
"2018-04-26 18:09:48",nespresso,"Frühlingsangebot: Jetzt Kaffeeguthaben sichern",,NESPRESSO,,1
"2018-04-26 18:09:50",nespresso,,B01NBEBS9K,Yosoo,,2
"2018-04-26 18:09:50",nespresso,,B019S0LXBW,"Il Caffè italiano",,3
"2018-04-26 18:09:50",nespresso,,B00TH7D0JU,Fluid-Tec,,4
"2018-04-26 18:09:50",nespresso,,B00TH6Y6UI,Fluid-Tec,,5
"2018-04-26 18:09:50",nespresso,,B073ZBNPFH,RECAPS,,6
"2018-04-26 18:09:50",nespresso,,B0741DLLFK,U-CAP,,7
"2018-04-26 18:09:48","cialde nespresso","Lavazza Nespresso kompatible Kapseln",,"LUIGI LAVAZZA DEUTSCHLAND GMBH",,1
"2018-04-26 18:09:48","capsule nespresso","Lavazza Nespresso kompatible Kapseln",,"LUIGI LAVAZZA DEUTSCHLAND GMBH",,1
"2018-04-26 18:09:50","capsule nespresso",,B0784BNZF5,My-TeaCup,,2
"2018-04-26 18:09:53","capsule nespresso",,B00ELMZVKM,Gourmesso,,3
"2018-04-26 18:09:53","capsule nespresso",,B00MXKBXXS,Gourmesso,,4
"2018-04-26 18:09:53","capsule nespresso",,B077M7V3W7,My-TeaCup,,5
"2018-04-26 18:09:53","capsule nespresso",,B00MXKC2ZG,Gourmesso,,6
"2018-04-26 18:09:53","capsule nespresso",,B071K8LWXS,"Il Caffè italiano",,7
"2018-04-26 18:09:51","capsule dolce gusto","Café Royal. Guter Geschmack für Ihre Maschine.",,"Café Royal",,1
"2018-04-26 18:09:51","dolce gusto","Die Kompakte - TASSIMO VIVY 2 jetzt bestellen",,Tassimo,,1
"2018-04-26 18:09:53","dolce gusto",,B073SCJHF5,"POP CAFFE'",,2
"2018-04-26 18:09:53","dolce gusto",,B01M0D8MG9,"Caffè Bonini",,3
"2018-04-26 18:09:53","dolce gusto",,B01939XAZK,"Springlane Kitchen",,4
"2018-04-26 18:09:57","dolce gusto",,B01L90PW3O,"K-fee System",,5
"2018-04-26 18:09:57","dolce gusto",,B074DLSHF4,Fusoris,,6
"2018-04-26 18:09:57","dolce gusto",,B00LFOR84G,AmbiClean,,7
"2018-04-26 18:09:54","lavazza a modo mio","Lavazza Nespresso kompatible Kapseln",,Lavazza,,1
"2018-04-26 18:09:57","lavazza a modo mio",,B00CFNC8TQ,Severin,,2
"2018-04-26 18:09:57","lavazza a modo mio",,B00XYBQ0LA,Lavazza,,3
"2018-04-26 18:09:57","lavazza a modo mio",,B06WW5FZBN,AquaHouse,,4
"2018-04-26 18:09:57","lavazza a modo mio",,B01C3R6B00,RECAPS,,5
"2018-04-26 18:09:57","lavazza a modo mio",,B0732Y27M7,RECAPS,,6
"2018-04-26 18:09:57","lavazza a modo mio",,B06WWB3Y1N,AquaHouse,,7
"2018-04-26 18:09:58","cialde borbone",,,,,1
"2018-04-26 18:10:00","cialde borbone",,B01M2VH8VM,"Caffe' Borbone",,2
"2018-04-26 18:09:58","cialde lavazza a modo mio","Lavazza Nespresso kompatible Kapseln",,Lavazza,,1
"2018-04-26 18:09:58","caffe borbone",,,,,1
"2018-04-26 18:10:00","caffe borbone",,B01M2VH8VM,"Caffe' Borbone",,2
"2018-04-26 18:10:00","caffe borbone",,B01M7S7XR2,"Caffè Bonini",,3
"2018-04-26 18:10:00","caffe borbone",,B01M59M5W8,"Caffe' Borbone",,4
"2018-04-26 18:10:00","caffe borbone",,B019RY0BD0,"Caffè Borbone",,5
"2018-04-26 18:09:58","caffe borbone cialde",,,,,1
"2018-04-26 18:09:58",caffe,"Inspiriert von unseren Starbucks Coffee Houses",,Starbucks,,1
"2018-04-26 18:10:03",caffe,,B009PM7M0U,Tassimo,,2
"2018-04-26 18:10:03",caffe,,B01EEUR6IK,"Melitta Professional",,3
