time,keyword,message,asin,brand,title,position
"2018-05-23 06:06:57",Orologio,,,,,1
"2018-05-23 06:06:57","daniel wellington",,,,,1
"2018-05-23 06:07:02","daniel wellington",,B01N47KXCU,MAMONA,,2
"2018-05-23 06:07:02","daniel wellington",,B071CGG1B5,BUREI,,3
"2018-05-23 06:07:02","daniel wellington",,B01M2U6J1P,TRUMiRR,,4
"2018-05-23 06:07:02","daniel wellington",,B0721BZWJ9,Globenfeld,,5
"2018-05-23 06:07:02","daniel wellington",,B01GYKF0B8,Gemony,,6
"2018-05-23 06:07:02","daniel wellington",,B01BY3N7MO,Comtex,,7
"2018-05-23 06:07:02","daniel wellington",,B01GYL5GUM,Gemony,,8
"2018-05-23 06:07:02","daniel wellington",,B073W88RCK,TStrap,,9
"2018-05-23 06:07:02","daniel wellington",,B01MYM168B,Gemony,,10
"2018-05-23 06:07:00",casio,,,,,1
"2018-05-23 06:07:09",casio,,B007EBUBSO,Casio,,2
"2018-05-23 06:07:09",casio,,B06X91LRXF,"LAD WEATHER",,3
"2018-05-23 06:07:09",casio,,B00HEX9IHM,"LAD WEATHER",,4
"2018-05-23 06:07:09",casio,,B01FVL88XI,"LAD WEATHER",,5
"2018-05-23 06:07:09",casio,,B00N6PO908,"AccessoriesBySej (venditore italiano)",,6
"2018-05-23 06:07:09",casio,,B01LXC8I1D,Barbie,,7
"2018-05-23 06:07:09",casio,,B01NCF1RON,"LAD WEATHER",,8
"2018-05-23 06:07:09",casio,,B01N6WSZ5V,"LAD WEATHER",,9
"2018-05-23 06:07:09",casio,,B0771DHL9V,"LAD WEATHER",,10
"2018-05-23 06:07:04","Orologio uomo",,,,,1
"2018-05-23 06:07:09","Orologio uomo",,B06XT1BNG2,Naviforce,,2
"2018-05-23 06:07:13","Orologio uomo",,B00K67BYV6,"Kronen Soehne",,3
"2018-05-23 06:07:13","Orologio uomo",,B0791884W3,TIME100,,4
"2018-05-23 06:07:11",swatch,,,,,1
"2018-05-23 06:07:13",swatch,,B00AZWW6Y6,Swatch,,2
"2018-05-23 06:07:13",swatch,,B00NB37OXO,Swatch,,3
"2018-05-23 06:07:13",swatch,,B01C8FIGXW,DIDOFà,,4
"2018-05-23 06:07:11","Orologio donna",,,,,1
"2018-05-23 06:07:13","Orologio donna",,B071LSJHZM,Granton,,2
"2018-05-23 06:07:13","Orologio donna",,B01IBFXAK2,DIDOFà,,3
"2018-05-23 06:07:13","Orologio donna",,B074CG996M,MAMONA,,4
"2018-05-23 06:07:15","Orologio uomo elegante","Orologi da polso per uomo",,"Stuhrling Original",,1
"2018-05-23 06:07:17","Orologio uomo elegante",,B01FSY5LZQ,WWOOR,,2
"2018-05-23 06:07:17","Orologio uomo elegante",,B017B8FOKO,AGENT.X,,3
"2018-05-23 06:07:17","Orologio uomo elegante",,B07B9BJ1JW,"June & Ed",,4
"2018-05-23 06:07:17","Orologio uomo elegante",,B074CHRVZZ,ROSHT,,5
"2018-05-23 06:07:17","Orologio uomo elegante",,B06WV7MQ13,BINZI,,6
"2018-05-23 06:07:17","Orologio uomo elegante",,B078ZD9DHT,CIVO,,7
"2018-05-23 06:07:15","orologio automatico","Scopri i nuovi prodotti Digital Health",,Nokia,,1
"2018-05-23 06:07:17","orologio automatico",,B01MR6RWY5,"CHRONO UNIVERSEL",,2
"2018-05-23 06:07:17","orologio automatico",,B01NAU071M,"CHRONO UNIVERSEL",,3
"2018-05-23 06:07:13","orologio automatico",,B00K67BYV6,"Kronen Soehne",,4
"2018-05-23 06:07:22","orologio automatico",,B07B9PWDK1,LIGE,,5
"2018-05-23 06:07:22","orologio automatico",,B077SVJFFJ,"ASWAN Watch",,6
"2018-05-23 06:07:22","orologio automatico",,B0093FIJYC,"Akribos XXIV",,7
"2018-05-23 06:07:19",tissot,,,,,1
"2018-05-23 06:07:19",breil,,,,,1
"2018-05-23 06:07:22",breil,,B00FU3JVJS,Breil,,2
"2018-05-23 06:07:22",breil,,B01EX76BD0,Breil,,3
"2018-05-23 06:07:19","fossil ","Più intuitivo. Più intelligente. Più tu.",,Ticwatch,,1
"2018-05-23 06:07:22","fossil ",,B06XVTWCHZ,Toshion,,2
"2018-05-23 06:07:19","Orologio donna elegante","Vestiti Da Sera",,MIUSOL,,1
"2018-05-23 06:07:26","Orologio donna elegante",,B07B2LR6K3,"Byron Bond",,2
