time,keyword,message,asin,brand,title,position
"2018-06-01 04:09:56",Orologio,,,,,1
"2018-06-01 04:09:56","daniel wellington",,,,,1
"2018-06-01 04:10:03","daniel wellington",,B0795M2CPL,MAMONA,,2
"2018-06-01 04:10:03","daniel wellington",,B01IJARM12,BUREI,,3
"2018-06-01 04:10:03","daniel wellington",,B01GYO2X5U,Gemony,,4
"2018-06-01 04:10:03","daniel wellington",,B01N47KXCU,MAMONA,,5
"2018-06-01 04:10:03","daniel wellington",,B01GYKVDWS,Gemony,,6
"2018-06-01 04:10:03","daniel wellington",,B01M2U6J1P,TRUMiRR,,7
"2018-06-01 04:10:03","daniel wellington",,B01GYHEV1Q,Gemony,,8
"2018-06-01 04:10:03","daniel wellington",,B01GYKVF6M,Gemony,,9
"2018-06-01 04:10:03","daniel wellington",,B071CGG1B5,BUREI,,10
"2018-06-01 04:10:01",casio,,,,,1
"2018-06-01 04:10:08",casio,,B007EBUBSO,Casio,,2
"2018-06-01 04:10:08",casio,,B06X91LRXF,"LAD WEATHER",,3
"2018-06-01 04:10:08",casio,,B00HEX9IHM,"LAD WEATHER",,4
"2018-06-01 04:10:08",casio,,B06WRRJYWL,"LAD WEATHER",,5
"2018-06-01 04:10:08",casio,,B00N6PO908,"AccessoriesBySej (venditore italiano)",,6
"2018-06-01 04:10:08",casio,,B01M09OGXO,Barbie,,7
"2018-06-01 04:10:08",casio,,B01N6WSZ5V,"LAD WEATHER",,8
"2018-06-01 04:10:08",casio,,B01FVL88XI,"LAD WEATHER",,9
"2018-06-01 04:10:08",casio,,B0716HV4D1,"LAD WEATHER",,10
"2018-06-01 04:10:06","Orologio uomo",,,,,1
"2018-06-01 04:10:14","Orologio uomo",,B0748BK8GK,BIDEN,,2
"2018-06-01 04:10:14","Orologio uomo",,B010M16PX2,Pixnor,,3
"2018-06-01 04:10:14","Orologio uomo",,B077QHT1TB,Shark,,4
"2018-06-01 04:10:12",swatch,,,,,1
"2018-06-01 04:10:14",swatch,,B079QM2MBY,"Woodstock Zambon",,2
"2018-06-01 04:10:14",swatch,,B079QFW8RQ,"Woodstock Zambon",,3
"2018-06-01 04:10:14",swatch,,B01IBK0GTA,DIDOFà,,4
"2018-06-01 04:10:14",swatch,,B01C8FISW6,DIDOFà,,5
"2018-06-01 04:10:14",swatch,,B01IBI2Q36,DIDOFà,,6
"2018-06-01 04:10:14",swatch,,B07BVZH325,watchygo,,7
"2018-06-01 04:10:19",swatch,,B01C8FIGXW,DIDOFà,,8
"2018-06-01 04:10:19",swatch,,B01C8FIFCO,DIDOFà,,9
"2018-06-01 04:10:19",swatch,,B01C8FJ1OA,DIDOFà,,10
"2018-06-01 04:10:17","Orologio donna",,,,,1
"2018-06-01 04:10:19","Orologio donna",,B071LSJHZM,Granton,,2
"2018-06-01 04:10:19","Orologio donna",,B06WGS9Y88,"TWIG Concept Milano",,3
"2018-06-01 04:10:19","Orologio donna",,B01ANDA5GC,TIME100,,4
"2018-06-01 04:10:17","Orologio uomo elegante","Orologio multifunzionale e sportivo in silicone",,TIME100,,1
"2018-06-01 04:10:19","Orologio uomo elegante",,B01827CUKA,AMPM24,,2
"2018-06-01 04:10:19","Orologio uomo elegante",,B017B8FOKO,AGENT.X,,3
"2018-06-01 04:10:24","Orologio uomo elegante",,B01IT9OT46,"MAM Originals",,4
"2018-06-01 04:10:24","Orologio uomo elegante",,B07B5DMGJP,Benyar,,5
"2018-06-01 04:10:22","orologio automatico","Scopri i nuovi prodotti Digital Health",,Nokia,,1
"2018-06-01 04:10:24","orologio automatico",,B01N5Q4LC1,"CHRONO UNIVERSEL",,2
"2018-06-01 04:10:24","orologio automatico",,B01MR6RWY5,"CHRONO UNIVERSEL",,3
"2018-06-01 04:10:24","orologio automatico",,B077XVPPTX,LIGE,,4
"2018-06-01 04:10:24","orologio automatico",,B00N42F2MW,Lorenz,,5
"2018-06-01 04:10:24","orologio automatico",,B01N9SHCBH,"CHRONO UNIVERSEL",,6
"2018-06-01 04:10:24","orologio automatico",,B01NBVIB6U,"CHRONO UNIVERSEL",,7
"2018-06-01 04:10:22",tissot,,,,,1
"2018-06-01 04:10:26",breil,,,,,1
"2018-06-01 04:10:28",breil,,B01IBJQD4I,ZUMUii,,2
"2018-06-01 04:10:26","fossil ","Più intuitivo. Più intelligente. Più tu.",,Ticwatch,,1
"2018-06-01 04:10:28","fossil ",,B06XVTWCHZ,Toshion,,2
"2018-06-01 04:10:26","Orologio donna elegante","Questa estate qual è il tuo stile? Mykonos18",,"Mykonos Design",,1
"2018-06-01 04:10:28","Orologio donna elegante",,B00T5Y22WG,"GuTe Mechanical",,2
