time,keyword,message,asin,brand,title,position
"2018-05-22 17:09:16",Orologio,,,,,1
"2018-05-22 17:09:16","daniel wellington",,,,,1
"2018-05-22 17:09:18","daniel wellington",,B01N7YCCZW,"Daniel Wellington",,2
"2018-05-22 17:09:18","daniel wellington",,B01EMDZY38,"Daniel Wellington",,3
"2018-05-22 17:09:18","daniel wellington",,B01EMDZX8Y,"Daniel Wellington",,4
"2018-05-22 17:09:18","daniel wellington",,B01N47KXCU,MAMONA,,5
"2018-05-22 17:09:18","daniel wellington",,B01M2U6J1P,TRUMiRR,,6
"2018-05-22 17:09:18","daniel wellington",,B075Q4W7GB,proking,,7
"2018-05-22 17:09:18","daniel wellington",,B01GYHNXQU,Gemony,,8
"2018-05-22 17:09:18","daniel wellington",,B01GYKVCCY,Gemony,,9
"2018-05-22 17:09:23","daniel wellington",,B0721BZWJ9,Globenfeld,,10
"2018-05-22 17:09:21",casio,,,,,1
"2018-05-22 17:09:23",casio,,B007EBUBSO,Casio,,2
"2018-05-22 17:09:23",casio,,B00HEX9IHM,"LAD WEATHER",,3
"2018-05-22 17:09:23",casio,,B06X91LRXF,"LAD WEATHER",,4
"2018-05-22 17:09:23",casio,,B01FVL88XI,"LAD WEATHER",,5
"2018-05-22 17:09:23",casio,,B00N6PO908,"AccessoriesBySej (venditore italiano)",,6
"2018-05-22 17:09:23",casio,,B01LXC8I1D,Barbie,,7
"2018-05-22 17:09:23",casio,,B079VH9346,"LAD WEATHER",,8
"2018-05-22 17:09:23",casio,,B071VCB52H,"LAD WEATHER",,9
"2018-05-22 17:09:28",casio,,B01NCF1RON,"LAD WEATHER",,10
"2018-05-22 17:09:26","Orologio uomo",,,,,1
"2018-05-22 17:09:28","Orologio uomo",,B07917X7YX,TIME100,,2
"2018-05-22 17:09:28","Orologio uomo",,B07868NYGM,JEDIR,,3
"2018-05-22 17:09:28","Orologio uomo",,B074HBGCFW,MEGALITH,,4
"2018-05-22 17:09:26",swatch,,,,,1
"2018-05-22 17:09:28",swatch,,B00AZWW6Y6,Swatch,,2
"2018-05-22 17:09:28",swatch,,B00NB37OXO,Swatch,,3
"2018-05-22 17:09:28",swatch,,B01C8FIGXW,DIDOFà,,4
"2018-05-22 17:09:26","Orologio donna",,,,,1
"2018-05-22 17:09:41","Orologio donna",,B071LSJHZM,Granton,,2
"2018-05-22 17:09:41","Orologio donna",,B074CG996M,MAMONA,,3
"2018-05-22 17:09:41","Orologio donna",,B01IBFXAK2,DIDOFà,,4
"2018-05-22 17:09:31","Orologio uomo elegante","TIME100 Orologio da Uomo Automatico Scheletro",,TIME100,,1
"2018-05-22 17:09:41","Orologio uomo elegante",,B01FSY5LZQ,WWOOR,,2
"2018-05-22 17:09:41","Orologio uomo elegante",,B074V4WS2N,Burei,,3
"2018-05-22 17:09:41","Orologio uomo elegante",,B07B9BJ1JW,"June & Ed",,4
