time,keyword,message,asin,brand,title,position
"2018-05-16 20:30:59",nespresso,"Capsules Café Colombia - Compatibles Nespresso",,L'OR,,1
"2018-05-16 20:31:02",nespresso,,B079MJH5F3,Aicok,,2
"2018-05-16 20:31:02",nespresso,,B0711Z2RKJ,HiveNets,,3
"2018-05-16 20:31:02",nespresso,,B01H8MYITQ,RECAPS,,4
"2018-05-16 20:31:02",nespresso,,B01N97DB4W,HiveNets,,5
"2018-05-16 20:31:42",senseo,"Café Corsé 36 dosettes souples - Lot de 5",,SENSEO,,1
"2018-05-16 20:31:45",senseo,,B002BL2XH4,Philips,,2
"2018-05-16 20:31:45",senseo,,B001HK99H2,,,3
"2018-05-16 20:31:45",senseo,,B00KY987FC,J-A-Outlet,,4
"2018-05-16 20:31:45",senseo,,B01IX0ZS9G,"Essential Values",,5
"2018-05-16 20:31:45",cafetiere,"Remise Immédiate sur Nespresso Vertuo Plus",,Nespresso,,1
"2018-05-16 20:31:48",cafetiere,,B01N52S30K,Aicok,,2
"2018-05-16 20:31:48",cafetiere,,B06XQ1B88X,Luxebell,,3
"2018-05-16 20:31:48",cafetiere,,B01N7IKJ6L,"Krups Nespresso",,4
"2018-05-16 20:31:48",cafetiere,,B01CU7SLII,H.Koenig,,5
"2018-05-16 20:31:50","dolce gusto","Capsule dolce gusto rechargeable",,RECAPS,,1
"2018-05-16 20:31:52","dolce gusto",,B073SCJHF5,"POP CAFFE'",,2
"2018-05-16 20:31:52","dolce gusto",,B004WMUF3Y,Krups,,3
"2018-05-16 20:31:52","dolce gusto",,B0728CLQ9D,Cunea,,4
"2018-05-16 20:31:52","dolce gusto",,B01N2W332W,Kealive,,5
"2018-05-16 20:31:53",tassimo,,,,,1
"2018-05-16 20:31:57",tassimo,,B073PWBMWK,HiveNets,,2
"2018-05-16 20:31:57",tassimo,,B00L42Z1BG,Babavoom®,,3
"2018-05-16 20:31:57",tassimo,,B00FDYYE50,Kaffeereiniger24,,4
"2018-05-16 20:31:53","machine à café","Capsules Café Delizioso - Compatibles Nespresso®",,"JACOBS DOUWE EGBERTS",,1
"2018-05-16 20:32:02","machine à café",,B079Z1983W,Aicok,,2
"2018-05-16 20:32:02","machine à café",,B079PLDS3Z,Aicok,,3
"2018-05-16 20:32:02","machine à café",,B01LWBUY65,BlueSnail,,4
"2018-05-16 20:32:02","machine à café",,B077X9C5JS,VeoHome,,5
"2018-05-16 20:32:02","machine à café",,B01MRA4WCO,WoldoClean,,6
"2018-05-16 20:32:05","machine à café",,B077H8XSMF,"Coffee Gator",,7
"2018-05-16 20:32:04","cafetiere expresso","Découvrez la gamme de machines à expresso Saeco",,SAECO,,1
"2018-05-16 20:32:05","cafetiere expresso",,B00SGO5HL4,Philips,,2
"2018-05-16 20:32:05","cafetiere expresso",,B0125ZTZ8K,Philips,,3
"2018-05-16 20:32:02","cafetiere expresso",,B079PLDS3Z,Aicok,,4
"2018-05-16 20:32:05","cafetiere expresso",,B074M95W3M,Philips,,5
"2018-05-16 20:32:09","cafetiere expresso",,B079P76RN7,Aicook,,6
"2018-05-16 20:31:02","cafetiere expresso",,B079MJH5F3,Aicok,,7
"2018-05-16 20:32:07",expresso,"Profitez de votre vie de bricolage",,RECAPS,,1
"2018-05-16 20:32:09",expresso,,B00E9CX1NI,Kamira,,2
"2018-05-16 20:32:09",expresso,,B0765M7PTN,"Rachel's Choice",,3
"2018-05-16 20:32:07","machine expresso",,,,,1
"2018-05-16 20:32:14","machine expresso",,B013K5F84Y,Philips,,2
"2018-05-16 20:32:14","machine expresso",,B01KUQJPB8,Philips,,3
"2018-05-16 20:32:14","machine expresso",,B00SGO4LN4,Philips,,4
"2018-05-16 20:32:02","machine expresso",,B079PLDS3Z,Aicok,,5
"2018-05-16 20:32:05","machine expresso",,B0125ZTZ8K,Philips,,6
"2018-05-16 20:32:14","machine expresso",,B00TYF8BB2,Philips,,7
"2018-05-16 20:32:10",lavazza,,,,,1
"2018-05-16 20:32:19",lavazza,,B00AFWXPZ0,Lavazza,,2
"2018-05-16 20:32:19",lavazza,,B00U3V5ETS,Lavazza,,3
"2018-05-16 20:32:19",lavazza,,B00GUDJLY2,Lavazza,,4
"2018-05-16 20:32:19",lavazza,,B000SDKDM4,,,5
"2018-05-16 20:32:19",lavazza,,B004DVOLE8,Lavazza,,6
"2018-05-16 20:32:22",lavazza,,B009YPU0I4,Lavazza,,7
"2018-05-16 20:32:21","expresso machine","Découvrez la gamme de machines à expresso Saeco",,SAECO,,1
"2018-05-16 20:32:14","expresso machine",,B01KUQJPB8,Philips,,2
"2018-05-16 20:32:14","expresso machine",,B013K5F84Y,Philips,,3
"2018-05-16 20:32:02","expresso machine",,B079PLDS3Z,Aicok,,4
"2018-05-16 20:32:14","expresso machine",,B00SGO4LN4,Philips,,5
"2018-05-16 20:32:05","expresso machine",,B0125ZTZ8K,Philips,,6
"2018-05-16 20:32:14","expresso machine",,B00TYF8BB2,Philips,,7
"2018-05-16 20:32:21","machine à café expresso","Capsules Café Delizioso - Compatibles Nespresso®",,"JACOBS DOUWE EGBERTS",,1
"2018-05-16 20:32:14","machine à café expresso",,B013K5F84Y,Philips,,2
"2018-05-16 20:32:14","machine à café expresso",,B01KUQJPB8,Philips,,3
"2018-05-16 20:32:02","machine à café expresso",,B079Z1983W,Aicok,,4
"2018-05-16 20:32:05","machine à café expresso",,B0125ZTZ8K,Philips,,5
