time,keyword,message,asin,brand,title,position
"2018-05-25 07:19:38",uhr,"Ein erster Blick auf Fitbit Versa",,Fitbit,,1
"2018-05-25 07:19:41",uhr,,B0732PNCJ7,Eventronic,,2
"2018-05-25 07:19:41",uhr,,B00RJW44GS,SSITG,,3
"2018-05-25 07:19:41",uhr,,B077QVTHW7,Xagoo,,4
"2018-05-25 07:19:41",uhr,,B002I5YMMW,Technoline,,5
"2018-05-25 07:19:41",uhr,,B001GO79LC,Technoline,,6
"2018-05-25 07:19:41",uhr,,B00D8ZNZR4,Unbekannt,,7
"2018-05-25 07:19:38",fossil uhr,"Die stylische Uhr mit smarten Funktionen",,"Fossil Europe",,1
"2018-05-25 07:19:41",fossil uhr,,B0792ZNMPG,Fossil,,2
"2018-05-25 07:19:41",fossil uhr,,B00FWX7DQO,Fossil,,3
"2018-05-25 07:19:44",fossil uhr,,B0766YXXM3,Fossil,,4
"2018-05-25 07:19:44",fossil uhr,,B077TSYM95,Fossil,,5
"2018-05-25 07:19:44",fossil uhr,,B002QXUTG4,"Michael Kors",,6
"2018-05-25 07:19:44",fossil uhr,,B00O1ZA7DK,Skagen,,7
"2018-05-25 07:19:42",Herrenuhr,,,,,1
"2018-05-25 07:19:44",Herrenuhr,,B078TFVY93,Icheckey,,2
"2018-05-25 07:19:44",Herrenuhr,,B074GQMNW4,Fossil,,3
"2018-05-25 07:19:44",Herrenuhr,,B07B3T78P1,OCYCLONE,,4
"2018-05-25 07:19:42",Damenuhr,,,,,1
"2018-05-25 07:19:42",Armbanduhr,,,,,1
"2018-05-25 07:19:46","daniel wellington","Entdecken Sie die Uhren - Zeitloses Design",,Alienwork,,1
"2018-05-25 07:19:48","daniel wellington",,B076HC68GF,"Daniel Wellington",,2
"2018-05-25 07:19:48","daniel wellington",,B01GYHEXZA,Gemony,,3
"2018-05-25 07:19:48","daniel wellington",,B01GYKVDWS,Gemony,,4
"2018-05-25 07:19:48","daniel wellington",,B00RK4SE5M,Fossil,,5
"2018-05-25 07:19:48","daniel wellington",,B01NA8Y1E7,Alienwork,,6
"2018-05-25 07:19:48","daniel wellington",,B00FF8CDSO,Fossil,,7
"2018-05-25 07:19:48","daniel wellington",,B01N47KXCU,MAMONA,,8
"2018-05-25 07:19:48","daniel wellington",,B075ZR9W31,ZEMGE,,9
"2018-05-25 07:19:48","daniel wellington",,B075ZPQ6RC,ZEMGE,,10
"2018-05-25 07:19:50","casio uhr","Entdecken Sie die Uhren - Zeitloses Design",,Alienwork,,1
"2018-05-25 07:19:53","casio uhr",,B001ES9KRQ,Casio,,2
"2018-05-25 07:19:53","casio uhr",,B015ZXKOFM,Casio,,3
"2018-05-25 07:19:53","casio uhr",,B00USEG4DA,Casio,,4
"2018-05-25 07:19:53","casio uhr",,B0055BWXF4,Fossil,,5
"2018-05-25 07:19:53","casio uhr",,B07BK3RF8K,Affute,,6
"2018-05-25 07:19:53","casio uhr",,B01MG490WO,Sopoby,,7
"2018-05-25 07:19:53","casio uhr",,B0714DNXH8,Benyar,,8
"2018-05-25 07:19:53","casio uhr",,B0175XIO9S,GreenTreen,,9
"2018-05-25 07:19:53","casio uhr",,B07512J7SN,SIBOSUN,,10
"2018-05-25 07:19:54",citizen,"Die schönsten Chronographen und Uhren für Herren.",,FIREFOX,,1
"2018-05-25 07:19:56",citizen,,B00D12XVI2,Citizen,,2
"2018-05-25 07:19:56",citizen,,B01FWKZ1X8,,,3
"2018-05-25 07:19:56",citizen,,B073XH855T,"LAD WEATHER",,4
"2018-05-25 07:19:56",citizen,,B00492D2MI,FIREFOX,,5
"2018-05-25 07:19:56",citizen,,B06XDH2MVN,"LAD WEATHER",,6
"2018-05-25 07:19:56",citizen,,B01NCF1RON,"LAD WEATHER",,7
"2018-05-25 07:19:54",swatch,,,,,1
"2018-05-25 07:19:56",swatch,,B004I1KJLM,Swatch,,2
"2018-05-25 07:19:56",swatch,,B019VQ6CLO,Swatch,,3
"2018-05-25 07:20:00",swatch,,B01IFH9QOU,Swatch,,4
"2018-05-25 07:20:00",swatch,,B0131Y1U6E,Burgmeister,,5
"2018-05-25 07:20:00",swatch,,B0019M2ITY,Swatch,,6
"2018-05-25 07:20:00",swatch,,B01N21DKSH,Swatch,,7
"2018-05-25 07:19:58","ice watch",,,,,1
"2018-05-25 07:20:00","ice watch",,B002JCSB1W,Ice-Watch,,2
"2018-05-25 07:20:00","ice watch",,B00FYHT32U,Ice-Watch,,3
"2018-05-25 07:20:00","ice watch",,B009BEOAGQ,Fossil,,4
"2018-05-25 07:20:00","ice watch",,B009BEO81I,Fossil,,5
"2018-05-25 07:19:53","ice watch",,B0175XIO9S,GreenTreen,,6
"2018-05-25 07:20:00","ice watch",,B071JBHSS7,MAMONA,,7
"2018-05-25 07:20:02",tissot,,,,,1
"2018-05-25 07:20:04",tissot,,B010NUH194,Tissot,,2
"2018-05-25 07:20:04",tissot,,B0029MXKNG,Tissot,,3
"2018-05-25 07:20:04",tissot,,B012E3XIA4,Tissot,,4
"2018-05-25 07:20:02",automatikuhr,"Automatische Luxusarmbanduhr",,"Stuhrling Original",,1
"2018-05-25 07:20:04",automatikuhr,,B06XBZMXQY,Makeløs,,2
"2018-05-25 07:20:04",automatikuhr,,B07D3WY4HD,Makeløs,,3
"2018-05-25 07:20:04",automatikuhr,,B06XBMHMD7,Makeløs,,4
"2018-05-25 07:20:04",automatikuhr,,B071DP2H1Z,"TRIPLE TREE",,5
"2018-05-25 07:20:04",automatikuhr,,B007NU6XUG,Richtenburg,,6
"2018-05-25 07:20:09",automatikuhr,,B00D7620GG,,,7
"2018-05-25 07:20:06",armbanduhr herren,"Unsere DETOMASO Topseller",,DETOMASO,,1
"2018-05-25 07:20:06",armbanduhr damen,Damenuhr,,TIME100,,1
"2018-05-25 07:20:06",damenuhr rosegold,"Die stylische Uhr mit smarten Funktionen",,"Fossil Europe",,1
"2018-05-25 07:20:09",damenuhr rosegold,,B00DIYA22G,Time,,2
"2018-05-25 07:20:09",damenuhr rosegold,,B01ANAKKZG,Time,,3
"2018-05-25 07:20:09",damenuhr rosegold,,B01ALKEX6U,Time,,4
"2018-05-25 07:20:09",damenuhr rosegold,,B079SZG5YP,Granton,,5
"2018-05-25 07:20:06",breil,,,,,1
"2018-05-25 07:20:09",breil,,B00XGNNQ0E,Breil,,2
"2018-05-25 07:20:11","superdry uhr","Entdecken Sie die Uhren - Zeitloses Design",,Alienwork,,1
"2018-05-25 07:20:13","superdry uhr",,B0755DM3TW,Alienwork,,2
"2018-05-25 07:20:13","superdry uhr",,B0175IU2J8,Alienwork,,3
"2018-05-25 07:20:13","superdry uhr",,B01N1TC48X,SONGDU,,4
"2018-05-25 07:20:13","superdry uhr",,B01D8KBMUU,Alienwork,,5
"2018-05-25 07:20:13","superdry uhr",,B00RGW4YHA,Alienwork,,6
"2018-05-25 07:20:13","superdry uhr",,B074C2XBFM,Alienwork,,7
"2018-05-25 07:20:11",breil uhr,"Entdecken Sie die Uhren - Zeitloses Design",,Alienwork,,1
"2018-05-25 07:20:13",breil uhr,,B007R3IVO0,Breil,,2
"2018-05-25 07:20:13",breil uhr,,B06XBH181F,Breil,,3
"2018-05-25 07:20:17",breil uhr,,B00SJ1BICQ,Breil,,4
"2018-05-25 07:20:17",breil uhr,,B00SJ1BGD2,Breil,,5
"2018-05-25 07:20:17",breil uhr,,B0124MAK9C,Breil,,6
