time,keyword,message,asin,brand,title,position
"2018-06-05 05:18:56",uhr,"Ein erster Blick auf Fitbit Versa",,Fitbit,,1
"2018-06-05 05:19:02",uhr,,B0732PNCJ7,Eventronic,,2
"2018-06-05 05:19:02",uhr,,B01MCU04N8,"Rainbow Watch GmbH",,3
"2018-06-05 05:19:02",uhr,,B002I5YMMW,Technoline,,4
"2018-06-05 05:19:02",uhr,,B001GO79LC,Technoline,,5
"2018-06-05 05:19:02",uhr,,B06XCJ8DYX,BABAN,,6
"2018-06-05 05:19:02",uhr,,B00D8ZNZR4,Technoline,,7
"2018-06-05 05:18:56",fossil uhr,"Die klassische Uhr mit Smart Funktionen",,"Fossil Europe",,1
"2018-06-05 05:19:02",fossil uhr,,B01N9V7WTX,Fossil,,2
"2018-06-05 05:19:02",fossil uhr,,B00BCYLX1S,"Michael Kors",,3
"2018-06-05 05:19:02",fossil uhr,,B01KLT1AA8,Skagen,,4
"2018-06-05 05:19:02",fossil uhr,,B01D8KBMUU,Alienwork,,5
"2018-06-05 05:19:05",fossil uhr,,B074TFNYTB,"New Trend - Love for Accessories",,6
"2018-06-05 05:19:05",fossil uhr,,B00PJV0USM,Fossil,,7
"2018-06-05 05:19:03",Herrenuhr,,,,,1
"2018-06-05 05:19:05",Herrenuhr,,B077JZDT2L,Vemupohal,,2
"2018-06-05 05:19:05",Herrenuhr,,B01LXJCMU5,"Michael Kors",,3
"2018-06-05 05:19:05",Herrenuhr,,B07D57KD5V,Greatfine,,4
"2018-06-05 05:19:03",Damenuhr,,,,,1
"2018-06-05 05:19:05",Damenuhr,,B01NA8Y1E7,Alienwork,,2
"2018-06-05 05:19:05",Damenuhr,,B074TGXFL5,"New Trend - Love for Accessories",,3
"2018-06-05 05:19:05",Damenuhr,,B00RK4SE5M,Fossil,,4
"2018-06-05 05:19:08",Armbanduhr,,,,,1
"2018-06-05 05:19:08","daniel wellington","Entdecken Sie die Uhren - Zeitloses Design",,Alienwork,,1
"2018-06-05 05:19:10","daniel wellington",,B079SGLN6W,STRAP4U,,2
"2018-06-05 05:19:10","daniel wellington",,B079SL3438,STRAP4U,,3
"2018-06-05 05:19:10","daniel wellington",,B076HD5JQ9,"Daniel Wellington",,4
"2018-06-05 05:19:05","daniel wellington",,B01NA8Y1E7,Alienwork,,5
"2018-06-05 05:19:05","daniel wellington",,B00RK4SE5M,Fossil,,6
"2018-06-05 05:19:10","daniel wellington",,B01GYKVDWS,Gemony,,7
"2018-06-05 05:19:10","daniel wellington",,B01N0D3CSC,Gemony,,8
"2018-06-05 05:19:10","daniel wellington",,B00944CXEY,"Michael Kors",,9
"2018-06-05 05:19:10","daniel wellington",,B074THZ88Z,"New Trend - Love for Accessories",,10
"2018-06-05 05:19:08","casio uhr","Multifunktionale Sportuhr, gutes Preis-Leistungs",,"LAD WEATHER",,1
"2018-06-05 05:19:14","casio uhr",,B0007X9F7E,Skagen,,2
"2018-06-05 05:19:14","casio uhr",,B01K1SWE9K,Fossil,,3
"2018-06-05 05:19:14","casio uhr",,B0761J271J,FIZILI,,4
"2018-06-05 05:19:14","casio uhr",,B00NFA0Z34,EZON,,5
"2018-06-05 05:19:14","casio uhr",,B001T6OPZ0,Fossil,,6
"2018-06-05 05:19:14","casio uhr",,B0055BWXF4,Fossil,,7
"2018-06-05 05:19:14","casio uhr",,B07BK3RF8K,Affute,,8
"2018-06-05 05:19:14","casio uhr",,B0714DNXH8,Benyar,,9
"2018-06-05 05:19:14","casio uhr",,B075NZ87KX,KDM,,10
"2018-06-05 05:19:12",citizen,"Die schönsten Chronographen und Uhren für Herren.",,FIREFOX,,1
"2018-06-05 05:19:18",citizen,,B073XH855T,"LAD WEATHER",,2
"2018-06-05 05:19:18",citizen,,B00492D2MI,FIREFOX,,3
"2018-06-05 05:19:18",citizen,,B00DHFW01W,FIREFOX,,4
"2018-06-05 05:19:18",citizen,,B06XDH2MVN,"LAD WEATHER",,5
"2018-06-05 05:19:18",citizen,,B01NCF1RON,"LAD WEATHER",,6
"2018-06-05 05:19:18",citizen,,B0049299WK,FIREFOX,,7
"2018-06-05 05:19:16",swatch,,,,,1
"2018-06-05 05:19:18",swatch,,B01NBTPAYF,Swatch,,2
"2018-06-05 05:19:18",swatch,,B0019M2ITY,Swatch,,3
"2018-06-05 05:19:18",swatch,,B01BYSNS8M,Swatch,,4
"2018-06-05 05:19:22",swatch,,B01IFGF4ME,Swatch,,5
"2018-06-05 05:19:22",swatch,,B006R40PBM,Swatch,,6
