time,keyword,message,asin,brand,title,position
"2018-07-01 16:55:55",Keywords,,,,,1
"2018-07-01 16:55:57",Keywords,,1537222791,,,2
"2018-07-01 16:55:57",Keywords,,B01APCOKEY,,,3
"2018-07-01 16:55:55",kaffee,"Fairtrade Bio-Kaffee aus 100% Arabica Bohnen",,"360° rundumehrlich",,1
"2018-07-01 16:55:57",kaffee,,B071SB53YG,"360° rundum ehrlich",,2
"2018-07-01 16:55:57",kaffee,,B077GHXPG9,VOLLMER,,3
"2018-07-01 16:55:57",kaffee,,B019WQ1RQ8,"Coffee Circle",,4
"2018-07-01 16:55:57",kaffee,,B00LPL1X7M,"Coffee Circle",,5
"2018-07-01 16:55:57",kaffee,,B01CTBP278,"360° rundum ehrlich",,6
"2018-07-01 16:55:57",kaffee,,B019WQQ2Z4,"Coffee Circle",,7
"2018-07-01 16:55:59","nespresso kapseln","Lavazza Nespresso kompatible Kapseln",,"LUIGI LAVAZZA DEUTSCHLAND GMBH",,1
"2018-07-01 16:56:06","nespresso kapseln",,B01MZ96J3D,SanSiro,,2
"2018-07-01 16:56:06","nespresso kapseln",,B072XQJ4K3,Jacobs,,3
"2018-07-01 16:56:06","nespresso kapseln",,B072XNRDZH,Jacobs,,4
"2018-07-01 16:56:06","nespresso kapseln",,B072BPGLXV,"Caffè Tiziano Bonini",,5
"2018-07-01 16:56:06","nespresso kapseln",,B00MXKBXXS,Gourmesso,,6
"2018-07-01 16:56:06","nespresso kapseln",,B00J2UR2Y6,Jacobs,,7
"2018-07-01 16:55:59",espresso,"Handgeröstet - Bio Kaffee aus fairem Handel",,VOLLMER,,1
"2018-07-01 16:56:06",espresso,,B079T8YZFC,Martermühle,,2
"2018-07-01 16:56:06",espresso,,B074ZRCM8Z,"Coffee Circle",,3
"2018-07-01 16:56:11",espresso,,B011VI3B8M,Martermühle,,4
"2018-07-01 16:56:11",espresso,,B00CBAHZ0U,Jacobs,,5
"2018-07-01 16:56:11",espresso,,B00NPZ0FFW,"Coffee Circle",,6
"2018-07-01 16:56:11",espresso,,B0798XP1QT,Rösttrommel,,7
"2018-07-01 16:56:09",kaffeebohnen,"Fairtrade Bio-Kaffee aus 100% Arabica Bohnen",,"360° rundumehrlich",,1
"2018-07-01 16:55:57",kaffeebohnen,,B01CTBP278,"360° rundum ehrlich",,2
"2018-07-01 16:55:57",kaffeebohnen,,B00LPL1X7M,"Coffee Circle",,3
"2018-07-01 16:56:11",kaffeebohnen,,B01GQ49XD8,"Coffee Circle",,4
"2018-07-01 16:56:11",kaffeebohnen,,B00XP6WZOU,Martermühle,,5
"2018-07-01 16:56:11",kaffeebohnen,,B01NCOI0NG,"Roasterbay Coffee",,6
"2018-07-01 16:56:11",kaffeebohnen,,B0105WZFRU,Martermühle,,7
"2018-07-01 16:56:11",kaffeebohnen,,B00XP6K6CI,Martermühle,,8
"2018-07-01 16:56:15",kaffeebohnen,,B006G0EV6C,"Schwiizer Schüümli",,9
"2018-07-01 16:55:57",kaffeebohnen,,B071SB53YG,"360° rundum ehrlich",,10
"2018-07-01 16:56:15",kaffeebohnen,,B079VXVMPN,Jacobs,,11
"2018-07-01 16:56:15",kaffeebohnen,,B079VXYNZZ,Jacobs,,12
