ean,asin,brand,Weblink,product_description,image_location,Amazon_Item_model_number,Amazon_Bestsellers_Rank,Bullet_Description,Amazon_Landed_Price,IPG_Cat_Desc_1_name,IPG_Cat_Desc_1_P,dim,le,wi,hi,we
719346630375,B075P1F3XD,"Jennifer Aniston",https://www.amazon.co.uk/dp/B075P1F3XD,"J By Jennifer Aniston Eau de Parfum 85ml Spray",https://images-eu.ssl-images-amazon.com/images/I/41RLQoo3wZL.jpg,,,"Type: , Eau de Parfum,Formulation: Liquid,Model: J By Jennifer Aniston,Package volume: 85 ml,Suitable for: Women's",21.67,"Eau de Perfume","Health & Personal Care","20 x 20 x 10 cm ; 490 g",20,20,10,"490 g"
737052911670,B00SZJCJY8,"James Bond",https://www.amazon.co.uk/dp/B00SZJCJY8,"Reveals the dangerously seductive nature of Bond women. An oriental flowery blend of flowers and spices, inspired by what women wore in the previous century. Top notes of bergmot, black pepper and rose blend with the floral middle notes of gardenia, jasmine and blackberry. Base notes are black vanilla husk, musk and cedar.",https://images-eu.ssl-images-amazon.com/images/I/51XwrZ7xB6L.jpg,0737052911670,34668,"The modern interpretation of an oriental fragrance captures the exciting energy of the bond-woman,Its charm lies in its long-lasting, powerful and rich character,Gives the impression of effortless elegance and a strong personality",19.34,Perfume,Gender,"8.7 x 4.9 x 10.5 cm ; 191 g",8.7,4.9,10.5,"191 g"
719346558396,B005VP7K5C,"Juicy Couture",https://www.amazon.co.uk/dp/B005VP7K5C,"Can't get enough couture? Well here's even more, for Juicy girls who want it all. Juicy Couture presents Viva La Juicy, an enticing scent of wild berries and mandarins, honeysuckle, gardenia, and jasmine. To round it out, amber, caramel, vanilla, sandalwood, and praline add just the right touch of sweetness. It's bottled in a bold gold decanter decorated with Juicy charms.",https://images-eu.ssl-images-amazon.com/images/I/51e9k6j6PrL.jpg,219417,686944,"Parfum Juicy Couture Parfum Femme Eau De Parfum Vaporisateur 100 Ml",,"Eau de Perfume",Women,"15.2 x 12.7 x 10.2 cm ; 27.2 g",15.2,12.7,10.2,"27.2 g"
8435415006439,B0748GY4YC,"Jean Paul Gaultier",https://www.amazon.co.uk/dp/B0748GY4YC,"Scandal is a new kind of fragrance for women: the elegant aura that it leaves in her wake is sullied by the Pigalle spirit beloved by Jean Paul Gaultier. Even Madam Minister is tempted by this scent of Scandal. It's more than a breath of fresh air - it's a breath of freedom. At night, everyone is allowed to be a party animal, make a scene and be scandalous! Delicious fresh honey with the wonderful scent of gardenia and blood orange. Top notes: Gardenia, Blood Orange. Middle notes: Honey. Base notes: Patchouli.",https://images-eu.ssl-images-amazon.com/images/I/41cRHx3j-ML.jpg,R-ZC-303-30,9710,"J.P. Gautier Scandal Edp Spray  30 ml,Eau de Partum,Fragrance from the designer house of J.P. Gautier",29.82,Perfume,Women,"10 x 5 x 10 cm",10,5,10,"281 g"
8435415006378,B0748GWY61,"Jean Paul Gaultier",https://www.amazon.co.uk/dp/B0748GWY61,"Scandal is a new kind of fragrance for women: the elegant aura that it leaves in her wake is sullied by the Pigalle spirit beloved by Jean Paul Gaultier. Even Madam Minister is tempted by this scent of Scandal. It's more than a breath of fresh air - it's a breath of freedom. At night, everyone is allowed to be a party animal, make a scene and be scandalous! Delicious fresh honey with the wonderful scent of gardenia and blood orange. Top notes: Gardenia, Blood Orange. Middle notes: Honey. Base notes: Patchouli.",https://images-eu.ssl-images-amazon.com/images/I/41IiKC3DGcL.jpg,R-ZC-303-50,32160,"J.P. Gautier Scandal Edp Spray  50 ml,Eau de Partum,Fragrance from the designer house of J.P. Gautier",48.03,Perfume,Women,"10 x 5 x 10 cm ; 49.9 g",10,5,10,"49.9 g"
027131010012,B0009OAIC2,"Estee Lauder",https://www.amazon.co.uk/dp/B0009OAIC2,"All woody notes with rich spices and luxurious flowers. Worldly and warm. Intensely feminine.Created for the self-assured woman who knows who she is and what she wants.",https://images-eu.ssl-images-amazon.com/images/I/41GMUqdtwmL.jpg,EL4408,8455,"Eau de parfum for women,Top notes of rose, tuberose, plum, pittosporum and mimosa,Middle notes of jasmine, patchouli and orange flower,Base notes of oakmoss, vetiver, sandalwood and amber",31.63,"Eau de Perfume",Women,"5.1 x 3.8 x 13.3 cm ; 454 g",5.1,3.8,13.3,"454 g"
022548346921,B0197CIWE2,"Michael Kors",https://www.amazon.co.uk/dp/B0197CIWE2,tbc,https://images-eu.ssl-images-amazon.com/images/I/41U-jQikUPL.jpg,KORCORF0103002,39710,"An Eau de Parfum for her,Floral and fruity fragrance,30ml bottle",24.24,Perfume,Women,"5.1 x 2.5 x 10.2 cm",5.1,2.5,10.2,"141 g"
22548334799,B00N8P9WV2,"Michael Kors",https://www.amazon.co.uk/dp/B00N8P9WV2,"<p>Sexy Rio de Janeiro by Michael Kors is a Floral Fruity fragrance for women. Sexy Rio de Janeiro was launched in 2014. Top note is mango; middle notes are honeysuckle and jasmine; base note is vanilla.</p>",https://images-eu.ssl-images-amazon.com/images/I/51AjBgaTMQL.jpg,022548334799,66841,"Women's Fragrance,30ml size perfect for travelling,Floral fragrance for women,Fragrance released in 2014",35.62,"Eau de Perfume","Health & Personal Care",NA,NA,,,"28.3 Grams"
022548327746,B00PWSSIHC,"Michael Kors",https://www.amazon.co.uk/dp/B00PWSSIHC,"MICHAEL KORS SPORTY CITRUS ROLLERBALL EDP 5ML & L",https://images-eu.ssl-images-amazon.com/images/I/316o99L9AhL.jpg,,183265,"5ml EDP Rollerball,5ml Peach Lip Gloss,Aromatic fragrance for women,Fragrance released in 2013",,"Lip Glosses","Health & Personal Care",NA,NA,,,"9.64 Grams"
022548318546,B00NAXL85A,"Michael Kors",https://www.amazon.co.uk/dp/B00NAXL85A,"This fragrance is a limited edition by Michael Kors and released in 2014. A white floral bouquet that is nothing short of heavenly to experience. This magical blend is so creamy you will love every moment.",https://images-eu.ssl-images-amazon.com/images/I/312n8%2BPVuCL.jpg,022548318546,50940,"Women's Fragrance,30ml size perfect for travelling,Floral fragrance for women,Fragrance released in 2014",34.75,"Eau de Perfume","Health & Personal Care",NA,NA,,,"28.3 Grams"
022548354643,B010QZTMTS,"Michael Kors",https://www.amazon.co.uk/dp/B010QZTMTS,"A sparkling child of Michael Kors' Gold Collection, White Luminous Gold is a bold and intoxicating fragrance for a courageous and determined woman. Wrapped in soft nuances of floral and oriental accords, it relishes an enticing burst of succulent pear, combines with enchanting jasmine then polishes with a sheen of warm amber.",https://images-eu.ssl-images-amazon.com/images/I/51NEgN5TqVL.jpg,NLI130680,87081,"A fragrance from michael kors,A perfume for women,Top notes of pear,Base notes of amber,30ml bottle",19.00,Perfume,Women,"4.2 x 4.2 x 9.5 cm",4.2,4.2,9.5,"118 g"
3607348816392,B00DG03S5U,"Katy Perry",https://www.amazon.co.uk/dp/B00DG03S5U,"Pop star Katy Perry launches her third fragrance and the first one done in cooperation with Coty. The scent is called Killer Queen and apparently it is totally different from its two predecessors. The bottle is shaped like a red ruby and comes in its own golden pedestal. Killer Queen was launched in 2013.",https://images-eu.ssl-images-amazon.com/images/I/41rHkGOw2pL.jpg,KATY-816392,78024,"Bottle: 30ml (1.0 FL oz),An Eau de Parfum for Women,Includes pump spray diffuser for ease of application",6.99,Perfume,Women,"15.5 x 7.6 x 7 cm ; 31.8 g",15.5,7.6,7,"31.8 g"
3607343820264,B018KNGEVW,"Katy Perry",https://www.amazon.co.uk/dp/B018KNGEVW,"A delicious and alluring fragrance that explores the many faces of vanilla seen across the world. Powdery and sweet, this fragrance embarks into an accord of Tahitian vanilla orchid, sweet white peony and a succulent taste of crisp apples. Venturing on, Mad Potion continues into a heart of rich bourbon vanilla flanked in petals of jasmine and a trail of musk. Drawing to a close, the scent brings out Mexican vanilla beans glazed in glowing amber and a second flair of musk.",https://images-eu.ssl-images-amazon.com/images/I/51%2B01U%2B959L.jpg,32274654000,10768,"Bottle: 50 ml (1.7 fl oz),An Eau de Parfum for Women,It's time to work your magic with Katy Perry's new beguiling, Mad Potion,Includes pump spray diffuser for ease of application,Perfect all occasion wear",7.95,Perfume,Women,"8.7 x 8.1 x 11.3 cm",8.7,8.1,11.3,"204 g"
3607349843120,B00LZ918OM,"Katy Perry",https://www.amazon.co.uk/dp/B00LZ918OM,"Katy Perry Royal Revolution Eau De Parfum Spray for Women, 1.7 Ounce; New for 2014",https://images-eu.ssl-images-amazon.com/images/I/51j4awFj75L.jpg,,626165,"Katy Perry Royal Revolution Eau De Parfum Spray for Women, 1.7 Ounce,1.7 Ounces",18.58,"Eau de Perfume",Women,NA,NA,,,"9.1 g"
737052949178,B00EXW32Y2,Lacoste,https://www.amazon.co.uk/dp/B00EXW32Y2,"LACOSTE | LACOSTE FEMME - eau de parfum vaporisateur 50 ml",https://images-eu.ssl-images-amazon.com/images/I/312RegULcpL.jpg,p3_p1091009,390536,Lacoste,41.24,"Eau de Perfume",Men,NA,NA,,,NA
3607342156845,B00457TW8K,JLO,https://www.amazon.co.uk/dp/B00457TW8K,<br/><br/><br/><br/>,https://images-eu.ssl-images-amazon.com/images/I/51N4xRPyNdL.jpg,JLO-156845,242086,"A fragrance from JLO,A sexy feminine cocktail,A hot combination of cherry, plum and blackberry,Base notes of Musk, Amber and Tropical Cream,30ml bottle",15.85,"Eau de Toilette",Women,"4.7 x 4.1 x 14.9 cm ; 159 g",4.7,4.1,14.9,"159 g"
737052191331,B000E7UF18,Lacoste,https://www.amazon.co.uk/dp/B000E7UF18,"Eau De Parfum Lacoste Touch of Pink is an expression of magnetic and carefree sensuality, like a shoulder freckled by the sun. For the women with a real zest for life, who are genuine and spontaneous. An intriguing fresh, fruity floral fragrance - classical in structure but with a young, modern edge.",https://images-eu.ssl-images-amazon.com/images/I/31FpE-tdvvL.jpg,133281,30963,"From Lacoste,Ladies' fragrance,Light and floral",27.05,"Eau de Toilette",Men,"5.1 x 15.2 x 5.1 cm ; 454 g",5.1,15.2,5.1,"454 g"
737052191324,B000C1VYSO,Lacoste,https://www.amazon.co.uk/dp/B000C1VYSO,"Touch of Pink is a fragrance for the dynamic women who has a zest for life. It is floral and fruity with notes of blood orange, coriander, violet and vanilla.",https://images-eu.ssl-images-amazon.com/images/I/31n6JcXZ-qL.jpg,LACOSTE-191324,9216,"An eau de toilette spray for women,Comes with 90 ml bottle,Top notes: blood orange, cardamom and peach,Middle notes: jasmine, carrot, coriander,Base notes: Musk and vanilla,An eau de toilette spray for women,Comes with 90 ml bottle,Comes with 90 ml bottle,Middle notes: jasmine, carrot, coriander,Base notes: Musk and vanilla",32.95,"Eau de Toilette",Men,"5.1 x 5.1 x 15.2 cm ; 299 g",5.1,5.1,15.2,"299 g"
5903111607111,B00R45LSFU,"Louis Blanc",https://www.amazon.co.uk/dp/B00R45LSFU,,https://images-eu.ssl-images-amazon.com/images/I/41%2BJFplX7-L.jpg,814.0,,"An attractive fragrance full of charm and Tendress,Fresh and Fruity Notes: lemon, bergamot, mandarin and peach.,Classical Floral Notes: Thermal Rose of May, jasmine, water lily, peony, magnolia, Orange Blossom,Woody notes: sandalwood and vetiver.",,"Eau de Perfume",Women,NA,NA,,,"481 g"
5903111607081,B00R45LSDC,"Louis Blanc",https://www.amazon.co.uk/dp/B00R45LSDC,,https://images-eu.ssl-images-amazon.com/images/I/31xJGQeBkOL.jpg,810.0,,"A Brightful fragrance for a shining Women,Top notes: All Spice and purple Freesia, Apple,Middle Nones: Hibiscus, jasmine, Bulgarian rose,Base notes: Cedarwood, Sandalwood, incense",,"Eau de Perfume",Women,NA,NA,,,"440 g"
031655715216,B009Z4OE40,"Vera Wang",https://www.amazon.co.uk/dp/B009Z4OE40,"<p>An olfactive expression of her couture fashion line, in 2008 Vera Wang creates a stylish and sophisticated scent for women, housed in a prism glass like bottle. Runway ready with notes of mandarin, watery greens, litchi and golden apple to open, while the heart of freesia and jasmine set the stage for the finale - vanilla, musk, oak moss and patchouli.</p>",https://images-eu.ssl-images-amazon.com/images/I/41rIASIiwxL.jpg,TRTA000266,,,59.94,"Eau de Perfume",Women,NA,NA,,,"45.4 g"
