name,asin,Good,Good_S,VeryGood_S,Acceptable_S,LIKEnew_S,VeryGood,Acceptable,LIKEnew,isbn,ean,title,Product_Page_Link,brand,Publisher,manufacturer,publicationdate,Edition,numberofpages,salesrank,New_MFN_Price,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight,label,buybox_price,totalnew,totalused,totalcollectible,totalrefurbished,status1
"Library - Family Room - Bookcase 2",0590493663,,,,,,,,,0590493663,9780590493666,"The Scholastic Encyclopedia Of The Presidents And Their Times",https://www.amazon.com/dp/0590493663,,"Scholastic Reference","Scholastic Reference",2001-05-01,"Updated Edition",232,2703575,$0.46,74,1107,927,237,1125,925,75,216,"Scholastic Reference",$3.95,18,83,3,0,9
"Library - Family Room - Bookcase 2",1564588831,,,,,,,,,1564588831,9781564588838,"Technology (Eyewitness Science)",https://www.amazon.com/dp/1564588831,"Brand: DK CHILDREN","DK CHILDREN","DK CHILDREN",1995-03-15,,64,5731764,$12.90,50,1100,860,80,1119,890,152,,"DK CHILDREN",$12.95,6,16,1,0,9
"Library - Family Room - Bookcase 2",B0007FOLJE,1.57,3.99,0.00,3.80,3.99,5.57,4.50,1.59,,0014121890228,"The Aesop for children;",https://www.amazon.com/dp/B0007FOLJE,,Rand,Rand,1947,,80,3974859,$11.69,111,913,657,158,,,,,Rand,,7,25,0,0,9
"Library - Family Room - Bookcase 2",1564584755,,,,,,,,,1564584755,9781564584755,"Oceans Atlas",https://www.amazon.com/dp/1564584755,"Brand: DK CHILDREN","DK CHILDREN","DK CHILDREN",1994-03-15,"1st American ed",64,1123776,$11.71,40,1390,1040,180,1410,1075,44,,"DK CHILDREN",$13.11,10,45,4,0,9
"Library - Family Room - Bookcase 2",156458626X,,,,,,,,,156458626X,9781564586261,"Earth Atlas",https://www.amazon.com/dp/156458626X,"Brand: DK CHILDREN","DK CHILDREN","DK CHILDREN",1994-09-15,,64,2920646,$24.88,20,1380,1050,170,1412,1081,46,,"DK CHILDREN",,6,29,2,0,9
"Library - Family Room - Bookcase 2",0198318383,,,,,,,,,0198318383,9780198318385,"SCHOOL ATLAS (NEW EDITION)",https://www.amazon.com/dp/0198318383,,"Oxford University Press","Oxford University Press",1997-04-17,3rd,192,,,71,1150,898,225,1173,913,75,,"Oxford University Press",,0,15,0,0,9
"Library - Family Room - Bookcase 2",B0025LBM8G,1.05,3.98,1.00,3.99,0.00,3.99,1.55,5.99,,0070999005959,"Garfield Chews The Fat & Swallows His Pride, Garfield 14th Book & 17th Book.",https://www.amazon.com/dp/B0025LBM8G,,"Ballantine Books Inc.","Ballantine Books Inc.",1987,"Complete Numbers Starting with 1, 1st Ed",128,6563975,$11.00,120,680,410,45,,,,,"Ballantine Books Inc.",,4,43,0,0,9
"Library - Family Room - Bookcase 2",0140481346,,,,,,,,,0140481346,9780140481341,"Death of a Salesman (Penguin Plays)",https://www.amazon.com/dp/0140481346,"The Viking Press","Penguin Books","Penguin Books",1976,,139,28011,$5.88,31,756,496,22,780,500,30,35,"Penguin Books",$11.70,102,455,25,0,9
"Library - Family Room - Bookcase 2",0553289101,,,,,,,,,0553289101,9780553289107,"Seize the Sky (Son of the Plains )",https://www.amazon.com/dp/0553289101,,"Bantam Books","Bantam Books",1991-04,1st,400,1175553,$3.25,120,680,420,55,688,425,88,44,"Bantam Books",$6.59,25,72,4,0,9
"Library - Family Room - Bookcase 2",0764124285,,,,,,,,,0764124285,9780764124280,"501 Spanish Verbs",https://www.amazon.com/dp/0764124285,"Brand: Barron's Educational Series","Barron's Educational Series","Barron's Educational Series",2003-05-01,5,670,109356,$11.90,130,900,600,225,925,600,175,,"Barron's Educational Series",$11.90,32,260,4,0,9
