name,asin,Good,Good_S,VeryGood_S,Acceptable_S,LIKEnew_S,VeryGood,Acceptable,LIKEnew,isbn,ean,title,Product_Page_Link,brand,Publisher,manufacturer,publicationdate,Edition,numberofpages,salesrank,New_MFN_Price,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight,label,buybox_price,totalnew,totalused,totalcollectible,totalrefurbished,status1
"Library - Family Room - Bookcase 6",1921963395,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,11
"Library - Family Room - Bookcase 6",0143037552,6.08,3.99,3.99,,0.00,6.33,,45.61,0143037552,9780143037552,"How to Achieve True Greatness (Penguin Great Ideas)",https://www.amazon.com/dp/0143037552,,"Penguin Books","Penguin Books",2006-05-30,,112,1243840,$29.50,50,720,390,5,714,440,35,19,"Penguin Books",,3,12,0,0,11
"Library - Family Room - Bookcase 6",0553347845,0.10,4.89,3.99,0.00,,1.79,4.99," ",0553347845,9780553347845,"What Do You Care What Other People Think? Further Adventures of a Curious Character",https://www.amazon.com/dp/0553347845,,Bantam,Bantam,1989-10-01,Reissue,256,2235421,$2.99,70,810,510,60,875,525,75,,Bantam,$3.98,17,104,7,0,11
"Library - Family Room - Bookcase 6",4894442027,21.15,3.98,,2.99,,,23.05," ",4894442027,9784894442023,?????????????,https://www.amazon.com/dp/4894442027,,,,,,,,,,,,,,,,,,,0,4,0,0,11
"Library - Family Room - Bookcase 6",0283998288,2.96,3.99,3.99,,,2.97,," ",0283998288,9780283998287,"Forces of Change: Why We are the Way We are Now",https://www.amazon.com/dp/0283998288,,"Sidgwick & Jackson Ltd","Sidgwick & Jackson Ltd",1989-04-13,1st,288,7355717,$48.75,142,913,606,146,949,630,130,,"Sidgwick & Jackson Ltd",,5,12,0,0,11
"Library - Family Room - Bookcase 6",0140249850,5.19,0.00,0.00,3.99,,5.99,1.01," ",0140249850,9780140249859,Stalingrad,https://www.amazon.com/dp/0140249850,,"Penguin USA (P)","Penguin USA (P)",2000-05,"New edition",512,2025994,$35.55,157,913,614,146,921,606,154,0,"Penguin USA (P)",,4,96,3,0,11
"Library - Family Room - Bookcase 6",0712698027,15.95,3.99,3.99,,7.49,13.00,,18.00,0712698027,9780712698023,"The Civil War Volume I (v. 1)",https://www.amazon.com/dp/0712698027,,Pimlico,Pimlico,1992-05-01,"New Edition",856,5598671,,181,906,638,247,921,638,173,246,Pimlico,,0,5,1,0,11
"Library - Family Room - Bookcase 6",1846142849,4.57,3.99,3.99,,9.00,4.56,,7.95,1846142849,9781846142840,"The Defence of the Realm: The Authorized History of MI5",https://www.amazon.com/dp/1846142849,,"Allen Lane","Allen Lane",2009,"Open Market Ed",,9561845,$182.10,230,920,600,350,921,602,228,0,"Allen Lane",,1,7,0,0,11
"Library - Family Room - Bookcase 6",0712698078,45.20,3.99,,,3.99,,,19.00,0712698078,9780712698078,"The Civil War Volume II (Vol 2)",https://www.amazon.com/dp/0712698078,,Pimlico,Pimlico,1992-05-01,,1000,9936786,$39.95,220,906,622,273,917,618,209,,Pimlico,,1,2,1,0,11
"Library - Family Room - Bookcase 6",0712698124,,,3.99,0.00,3.99,3.50,7.48,26.00,0712698124,9780712698122,"The Civil War Volume III (v. 3)",https://www.amazon.com/dp/0712698124,,Pimlico,Pimlico,1992-05-01,,1120,8661615,$103.40,228,913,638,326,921,638,217,324,Pimlico,,2,4,0,0,11
"Library - Family Room - Bookcase 6",0060914068,0.01,3.99,0.00,0.00,0.00,4.23,4.22,4.23,0060914068,9780060914066,"Love, Medicine and Miracles",https://www.amazon.com/dp/0060914068,"Harper Collins Publishers","HarperCollins Publishers","HarperCollins Publishers",1988-05,,,570141,$5.80,70,790,520,55,811,611,111,,"HarperCollins Publishers",,16,360,8,0,11
"Library - Family Room - Bookcase 6",0385304250,0.94,3.96,0.00,0.00,,4.99,4.90," ",0385304250,9780385304252,"Managing From the Heart",https://www.amazon.com/dp/0385304250,,"Delacorte Press","Delacorte Press",1991-08-01,"First Printing",198,883566,$9.99,80,820,570,70,850,575,100,,"Delacorte Press",$13.98,9,54,1,0,11
"Library - Family Room - Bookcase 6",0316051896,1.00,3.99,3.99,,,0.99,," ",0316051896,9780316051897,"Dr. Bob Arnot's Guide to Turning Back the Clock",https://www.amazon.com/dp/0316051896,"Little, Brown and Company","Little, Brown and Company","Little, Brown and Company",1995-03-01,First,403,918191,$1.70,140,930,640,150,950,675,150,,"Little, Brown and Company",$5.69,46,169,17,0,11
"Library - Family Room - Bookcase 6",0060799129,4.92,0.00,0.00,0.00,,4.99,5.19," ",0060799129,9780060799120,"Self Leadership and the One Minute Manager: Increasing Effectiveness Through Situational Self Leadership",https://www.amazon.com/dp/0060799129,"Blanchard, Kenneth H./ Fowler, Susan/ Hawkins, Laurence F.","William Morrow","William Morrow",2005-05-24,1,176,514365,$7.00,94,835,559,62,825,550,69,62,"William Morrow",$23.99,22,124,1,0,11
"Library - Family Room - Bookcase 6",0812928334,5.08,0.00,0.00,,,5.08,," ",0812928334,9780812928334,"The Witch Doctors",https://www.amazon.com/dp/0812928334,,"Crown Business","Crown Business",1996-01-15,"1st U.S. ed",369,1370784,$3.50,140,930,620,150,975,650,125,,"Crown Business",$18.99,12,55,2,0,11
"Library - Family Room - Bookcase 6",0887306985,0.25,3.99,0.00,,3.99,4.28,,0.25,0887306985,9780887306983,"Reengineering Management: The Mandate for New Leadership",https://www.amazon.com/dp/0887306985,,"HarperCollins Publishers","HarperCollins Publishers",1995-01-01,1st,212,3798823,$0.93,111,913,657,158,975,650,100,,"HarperCollins Publishers",$1.99,46,145,20,0,11
"Library - Family Room - Bookcase 6",0671687123,0.98,3.99,0.00,0.00,3.99,5.59,6.40,0.99,0671687123,9780671687120,"D.H. Lawrence: The Story of a Marriage",https://www.amazon.com/dp/0671687123,,"Simon & Schuster","Simon & Schuster",1994-11-01,1st,620,2799995,$8.87,180,940,660,215,975,650,225,,"Simon & Schuster",$9.95,14,124,15,0,11
"Library - Family Room - Bookcase 6",0385483457,0.79,3.99,,,,,," ",0385483457,9780385483452,Genesis,https://www.amazon.com/dp/0385483457,Doubleday,Doubleday,Doubleday,1996-09-01,1,361,718683,$4.38,150,930,750,205,975,750,150,,Doubleday,$8.36,33,207,40,0,11
"Library - Family Room - Bookcase 6",0670843024,0.99,3.99,3.99,0.00,0.00,1.00,5.54,5.87,0670843024,9780670843022,"A History of Reading",https://www.amazon.com/dp/0670843024,"Brand: Penguin Books","Viking Adult","Viking Adult",1996-09-01,,384,3143554,$11.91,120,910,650,135,690,954,135,,"Viking Adult",$15.90,15,80,6,0,11
"Library - Family Room - Bookcase 6",0340829931,0.85,3.99,0.00,0.00,,5.47,4.99," ",0340829931,9780340829936,"The Adventure Of English",https://www.amazon.com/dp/0340829931,imusti,Sceptre,Sceptre,2004-09-01,"New Ed",368,5053925,$4.00,102,764,504,57,780,512,98,60,Sceptre,,8,69,2,0,11
"Library - Family Room - Bookcase 6",0684801523,0.05,3.99,3.99,3.99,3.99,0.84,0.05,0.81,0684801523,9780684801520,"The Great Gatsby",https://www.amazon.com/dp/0684801523,"Brand: Scribner",Scribner,Scribner,1995-06-01,,216,428792,$5.98,60,790,520,65,812,532,50,34,Scribner,,23,699,16,0,11
"Library - Family Room - Bookcase 6",0061320552,6.17,0.00,0.00,0.00,3.99,6.17,6.17,8.00,0061320552,9780061320552,"Japan As Number One: Lessons for America (Harper Torchbooks)",https://www.amazon.com/dp/0061320552,,"Harpercollins College Div","Harpercollins College Div",1985-11-01,,283,2731169,$37.88,80,790,530,60,825,550,75,,"Harpercollins College Div",,6,22,0,0,11
"Library - Family Room - Bookcase 6",0801846323,18.91,3.99,3.99,3.99,3.99,22.00,20.48,21.99,0801846323,9780801846328,"Genealogies of Religion: Discipline and Reasons of Power in Christianity and Islam",https://www.amazon.com/dp/0801846323,"Brand: Johns Hopkins University Press","Johns Hopkins University Press","Johns Hopkins University Press",1993-08-01,1st,344,156199,$24.00,87,900,600,131,900,600,87,113,"Johns Hopkins University Press",$28.00,25,26,0,0,11
"Library - Family Room - Bookcase 6",0385417993,4.83,0.00,,0.00,,,4.99," ",0385417993,9780385417990,"Living Without a Goal",https://www.amazon.com/dp/0385417993,,"Doubleday Business","Doubleday Business",1995-01-01,1st,201,1152197,$17.42,60,900,610,65,975,675,100,,"Doubleday Business",$21.47,12,80,5,0,11
"Library - Family Room - Bookcase 6",0452270715,5.99,0.00,0.00,3.99,3.99,5.99,8.00,9.00,0452270715,9780452270718,"A Bus of My Own: A Memoir (Plume)",https://www.amazon.com/dp/0452270715,,Plume,Plume,1993-08-01,,272,4491425,$19.98,90,890,600,75,500,700,100,,Plume,,6,15,4,0,11
"Library - Family Room - Bookcase 6",0898154081,4.99,0.00,0.00,4.89,3.99,4.99,0.25,1.03,0898154081,9780898154085,"Thinkertoys: A Handbook of Business Creativity",https://www.amazon.com/dp/0898154081,"Brand: Ten Speed Press","Ten Speed Press","Ten Speed Press",1991-11-04,"Paper edition",336,1605794,$4.99,110,900,730,145,925,750,125,,"Ten Speed Press",$4.99,10,98,1,0,11
"Library - Family Room - Bookcase 6",0198631529,0.85,3.99,0.00,3.99,,4.99,1.59," ",0198631529,9780198631521,"The Oxford Dictionary of New Words",https://www.amazon.com/dp/0198631529,,"Oxford University Press","Oxford University Press",1997-11-13,"2nd Revised edition",368,4225572,$9.99,140,930,620,145,920,650,130,,"Oxford University Press",$11.00,8,30,0,0,11
"Library - Family Room - Bookcase 6",0684802716,5.31,0.00,0.00,0.00,,5.59,5.31," ",0684802716,9780684802718,"Coyote Medicine: Lessons from Native American Healing",https://www.amazon.com/dp/0684802716,"Brand: Scribner",Scribner,Scribner,1997-02-18,"First Edition",304,446121,$8.89,110,960,650,115,1000,650,125,,Scribner,,9,85,8,0,11
"Library - Family Room - Bookcase 6",0887302742,18.55,3.99,3.99,0.00,,4.98,8.96," ",0887302742,9780887302749,"Executive Development: A Strategy for Corporate Competitiveness",https://www.amazon.com/dp/0887302742,"Brand: Ballinger Pub Co","Ballinger Pub Co","Ballinger Pub Co",1989-08-01,,212,7955843,$15.93,100,890,610,100,,,,,"Ballinger Pub Co",$15.93,2,9,0,0,11
"Library - Family Room - Bookcase 6",019508408X,5.10,0.00,0.00,,,5.19,,9.95,019508408X,9780195084085,"Scuttle Your Ships Before Advancing: And Other Lessons from History on Leadership and Change for Today's Managers",https://www.amazon.com/dp/019508408X,,"Oxford University Press","Oxford University Press",1994-01-15,1,199,690020,$6.32,290,530,490,15,950,638,98,,"Oxford University Press",,8,43,1,0,11
"Library - Family Room - Bookcase 6",0385423640,3.99,1.00,0.00,0.00,0.00,4.99,4.99,5.69,0385423640,9780385423649,"The Web of Inclusion",https://www.amazon.com/dp/0385423640,,"Doubleday Business","Doubleday Business",1995-05-01,"First Edition/First Printing",294,1069125,$6.00,120,930,630,135,950,650,125,,"Doubleday Business",$11.99,12,44,6,0,11
"Library - Family Room - Bookcase 6",1405032588,5.45,0.00,3.99,0.00,3.99,2.97,5.44,8.32,1405032588,9781405032582,"Jeffrey Archer Short Stories Bk 3",https://www.amazon.com/dp/1405032588,,Macmillan,Macmillan,2006,"Airside e.",200,,$10.75,94,906,606,75,,,,,Macmillan,,1,15,0,0,11
"Library - Family Room - Bookcase 6",0671680684,1.32,3.99,3.99,3.99,,5.95,1.50," ",0671680684,9780671680688,"Vision in action: Putting a winning strategy to work",https://www.amazon.com/dp/0671680684,,"Simon and Schuster","Simon and Schuster",1989,"First Edition",223,3467823,$4.69,100,930,600,30,,,,,"Simon and Schuster",,8,20,4,0,11
"Library - Family Room - Bookcase 6",0965870103,5.59,0.00,0.00,,3.49,4.99,,4.50,0965870103,9780965870108,"Sonoma Country... Its Bounty",https://www.amazon.com/dp/0965870103,"Brand: Wimmer Book Dist","Wimmer Cookbooks, Inc.","Wimmer Cookbooks, Inc.",1997-12-01,,224,7101215,$19.90,111,923,700,125,111,923,700,,"Wimmer Cookbooks, Inc.",$19.90,4,14,0,0,11
"Library - Family Room - Bookcase 6",0307279189,1.22,4.49,0.00,3.99,,5.68,1.71," ",0307279189,9780307279187,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",https://www.amazon.com/dp/0307279189,"Random House",Vintage,Vintage,2011-03-29,Reprint,304,2362,$6.56,100,790,510,75,800,520,90,71,Vintage,$10.97,98,338,6,0,11
"Library - Family Room - Bookcase 6",1456532324,10.48,0.00,,,3.99,,,8.50,1456532324,9781456532321,"Manifest Destiny: How the stories we tell ourselves shape our lives",https://www.amazon.com/dp/1456532324,,"CreateSpace Independent Publishing Platform","CreateSpace Independent Publishing Platform",2011-01-07,,208,11453624,,50,850,540,55,850,550,47,43,"CreateSpace Independent Publishing Platform",,0,3,0,0,11
"Library - Family Room - Bookcase 6",1400048303,5.09,0.00,0.00,0.00,0.00,5.08,5.09,5.99,1400048303,9781400048304,"Wild Stories: The Best of Men's Journal",https://www.amazon.com/dp/1400048303,,"Broadway Books","Broadway Books",2003-05-13,Reprint,608,1098673,$12.34,120,800,520,140,800,520,130,140,"Broadway Books",$16.98,13,54,1,0,11
"Library - Family Room - Bookcase 6",0140243372,4.90,0.00,0.00,0.00,,4.91,4.92," ",0140243372,9780140243376,"The Green Knight",https://www.amazon.com/dp/0140243372,"Murdoch, Iris","Penguin Books","Penguin Books",1995-01-01,Reprint,472,1503660,$11.40,100,780,500,97,770,510,100,84,"Penguin Books",$16.00,19,75,1,0,11
"Library - Family Room - Bookcase 6",0014002476,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,11
"Library - Family Room - Bookcase 6",0878573968,5.12,0.00,1.00,4.89,,4.12,0.25," ",0878573968,9780878573967,"Rodale's Encyclopedia of Natural Home Remedies:  Hundreds of Simple Healing Techniques for Everyday Illness and Emergencies",https://www.amazon.com/dp/0878573968,,"Rodale Press","Rodale Press",1982-08-15,,512,791980,$4.91,170,820,550,180,1000,700,200,,"Rodale Press",,14,142,2,0,11
"Library - Family Room - Bookcase 6",0814404316,5.99,0.00,3.99,3.99,5.12,17.50,26.95,62.09,0814404316,9780814404317,"Secrets of the Wild Goose: The Self-Management Way to Increase Your Personal Power and Inspire Productive Teamwork",https://www.amazon.com/dp/0814404316,,AMACOM,AMACOM,1998-05-11,"Original Radio Broadcast and ed.",320,5309323,$0.10,120,910,600,125,925,650,125,,AMACOM,$16.81,10,8,1,0,11
"Library - Family Room - Bookcase 6",0553253069,0.50,4.25,0.00,0.00,3.99,4.80,4.80,0.01,0553253069,9780553253061,"The Empty Land: A Novel",https://www.amazon.com/dp/0553253069,Bantam,Bantam,Bantam,1985-05-01,,256,134378,$3.50,126,669,394,49,690,420,70,27,Bantam,$4.79,49,122,2,0,11
"Library - Family Room - Bookcase 6",0684196468,4.99,0.00,0.00,,3.99,4.99,,0.99,0684196468,9780684196466,"Money: Who Has How Much and Why",https://www.amazon.com/dp/0684196468,,Scribner,Scribner,1997-06-17,"First Edition",256,3761820,$4.47,100,920,590,115,1000,675,125,,Scribner,$4.47,11,52,8,0,11
"Library - Family Room - Bookcase 6",1740597508,4.75,0.00,0.00,,3.99,5.69,,2.95,1740597508,9781740597500,"Lonely Planet Greece",https://www.amazon.com/dp/1740597508,,"Lonely Planet","Lonely Planet",2006-03-01,7,772,4044034,$9.00,126,780,496,132,800,525,125,132,"Lonely Planet",,6,32,1,0,11
"Library - Family Room - Bookcase 6",1616206438,6.04,0.00,3.99,0.00,0.00,3.99,6.39,6.83,1616206438,9781616206437,"The Muralist: A Novel",https://www.amazon.com/dp/1616206438,"Shapiro B A","Algonquin Books","Algonquin Books",2016-10-11,Reprint,368,29576,$7.29,110,820,550,70,825,550,83,0,"Algonquin Books",$8.77,58,85,4,0,11
"Library - Family Room - Bookcase 6",0140442480,4.99,0.00,0.00,0.00,,4.99,5.59," ",0140442480,9780140442489,"Cervantes: Exemplary Stories (Penguin Classics)",https://www.amazon.com/dp/0140442480,,"Penguin Classics","Penguin Classics",1986-03-04,,256,1154480,$9.86,70,770,510,45,780,510,60,40,"Penguin Classics",$14.98,32,84,1,0,11
"Library - Family Room - Bookcase 6",0553382640,4.83,0.00,,3.96,,,0.94," ",0553382640,9780553382648,"Annie Freeman's Fabulous Traveling Funeral",https://www.amazon.com/dp/0553382640,Bantam,Bantam,Bantam,2006-01-31,,331,59476,$5.48,90,820,510,60,830,520,70,57,Bantam,$9.55,51,258,1,0,11
"Library - Family Room - Bookcase 6",0201590468,5.96,0.00,0.00,0.00,0.00,5.96,9.97,9.95,0201590468,9780201590463,"The Cruelty Of Depression",https://www.amazon.com/dp/0201590468,,"Da Capo Press","Da Capo Press",1997-10-16,0,144,3282179,$7.47,60,820,540,70,875,575,75,,"Da Capo Press",$14.70,9,24,2,0,11
"Library - Family Room - Bookcase 6",0929661036,4.99,0.00,1.00,,,3.99,," ",0929661036,9780929661032,"The Wellness Encyclopedia of Food and Nutrition",https://www.amazon.com/dp/0929661036,"Brand: Random House","Random House","Random House",1992-09-29,1,512,246426,$4.76,160,1010,810,295,1028,830,154,,"Random House",,28,225,5,0,11
"Library - Family Room - Bookcase 6",0140178740,5.05,0.00,,3.99,,,1.75," ",0140178740,9780140178746,"The Collapse of Chaos: Discovering Simplicity in a Complex World (Penguin Press Science)",https://www.amazon.com/dp/0140178740,,"Penguin Books","Penguin Books",1995-04-01,,512,1334588,$7.73,92,773,503,82,776,526,99,,"Penguin Books",,5,55,2,0,11
"Library - Family Room - Bookcase 6",0375724931,4.80,0.00,0.00,0.00,,4.99,4.68," ",0375724931,9780375724930,"The Bridegroom: Stories",https://www.amazon.com/dp/0375724931,,Vintage,Vintage,2001-09-11,"Vintage Intl",225,816398,$4.96,70,790,520,60,800,520,50,60,Vintage,$11.13,40,118,6,0,11
"Library - Family Room - Bookcase 6",0931580501,5.01,0.00,,3.99,,,1.55," ",0931580501,9780931580505,"Wealth 101: Getting What You Want-Enjoying What You'Ve Got",https://www.amazon.com/dp/0931580501,"Mary Book / Prelude Pr","Mary Book / Prelude Pr","Mary Book / Prelude Pr",1992-04-01,1st,532,1156655,$12.72,170,880,610,190,900,650,200,,"Mary Book / Prelude Pr",,10,112,7,0,11
"Library - Family Room - Bookcase 6",0198880189,5.79,0.00,0.00,0.00,,6.96,5.99," ",0198880189,9780198880189,"The Problems of Philosophy (Opus Books)",https://www.amazon.com/dp/0198880189,,"Oxford University Press","Oxford University Press",1967,"2Rev Ed",106,5709699,$74.09,20,750,500,15,,,,,"Oxford University Press",,2,35,0,0,11
"Library - Family Room - Bookcase 6",0006386725,1.32,3.99,0.00,3.99,,5.99,1.32," ",0006386725,9780006386728,"101 Unuseless Japanese Inventions",https://www.amazon.com/dp/0006386725,,"Harper Collins Publishers","Harper Collins Publishers",1995-10-23,First,160,6704510,$48.86,39,756,496,62,,,,,"Harper Collins Publishers",,7,23,1,0,11
"Library - Family Room - Bookcase 6",0760748721,4.99,0.00,3.99,0.00,3.99,1.21,4.99,2.15,0760748721,9780760748725,"Tales of Mystery and Imagination (Collector's Library)",https://www.amazon.com/dp/0760748721,,"Barnes and Noble","Barnes and Noble",2003,"1st Collector's Library",456,2048800,$1.29,79,598,394,50,,,,,"Barnes and Noble",,13,37,2,0,11
"Library - Family Room - Bookcase 6",0195205286,4.99,0.00,0.00,0.00,,5.59,5.59," ",0195205286,9780195205282,"The Oxford Book of Military Anecdotes",https://www.amazon.com/dp/0195205286,"Max Hastings","Oxford University Press","Oxford University Press",1986-12-11,Reprint,528,1633552,$18.95,142,850,551,159,800,531,105,166,"Oxford University Press",$30.32,22,66,1,0,11
"Library - Family Room - Bookcase 6",0722123515,1.98,3.99,0.00,0.00,,5.96,5.99," ",0722123515,9780722123515,"Effective Presentation",https://www.amazon.com/dp/0722123515,,"Sphere Books","Sphere Books",1987,,112,,,39,764,504,4,,,,,"Sphere Books",,0,6,0,0,11
"Library - Family Room - Bookcase 6",0892817224,5.29,0.00,0.00,0.00,0.00,5.29,5.99,5.99,0892817224,9780892817221,"Child Astrology: A Guide to Nurturing Your Child's Natural Gifts",https://www.amazon.com/dp/0892817224,"Brand: Destiny Books","Destiny Books","Destiny Books",1999-07-01,,272,1371375,$2.00,79,894,604,90,900,600,70,90,"Destiny Books",$2.00,16,33,1,0,11
"Library - Family Room - Bookcase 6",0007281714,1.14,3.99,0.00,3.99,,5.99,1.80," ",0732290694,9780007281718,"Pirate Latitudes",https://www.amazon.com/dp/0007281714,HarperCollins,HarperCollins,HarperCollins,2009,,,4774281,$18.00,87,913,598,97,909,709,91,93,HarperCollins,,3,26,2,0,11
"Library - Family Room - Bookcase 6",1846050383,1.06,3.99,3.99,3.99,,1.80,2.89," ",1846050383,9781846050381,"The Innocent Man",https://www.amazon.com/dp/1846050383,,Century,Century,2007,"UK Airport ed",,5023818,$105.05,126,898,598,110,921,602,106,,Century,,1,21,0,0,11
"Library - Family Room - Bookcase 6",0911382194,65.51,3.99,3.99,,3.99,65.50,,191.33,0911382194,9780911382198,"Railroad Mergers History Analysis Insight",https://www.amazon.com/dp/0911382194,"Brand: Simmons Boardman Pub Co","Simmons Boardman Pub Co","Simmons Boardman Pub Co",1997-08-01,,475,2834832,$88.79,150,930,630,210,975,675,175,,"Simmons Boardman Pub Co",,5,9,0,0,11
"Library - Family Room - Bookcase 6",0374173273,0.99,3.99,0.00,0.00,,4.99,5.26," ",0374173273,9780374173272,"How to Be Alone: Essays",https://www.amazon.com/dp/0374173273,,"Farrar, Straus and Giroux","Farrar, Straus and Giroux",2002-10-01,Reprint,288,920742,$8.94,111,913,657,158,856,580,112,,"Farrar, Straus and Giroux",$8.94,14,82,21,0,11
"Library - Family Room - Bookcase 6",1607477254,6.58,0.00,3.99,,3.99,3.32,,1.99,1607477254,9781607477259,"Birth: When the Spiritual and the Material Come Together",https://www.amazon.com/dp/1607477254,,"Phoenix Books","Phoenix Books",2009-11-17,"First Edition",192,3594432,$3.50,90,760,550,75,762,578,74,75,"Phoenix Books",$3.50,12,17,1,0,11
"Library - Family Room - Bookcase 6",157851777X,7.98,0.00,3.99,3.99,,13.98,5.00,58.30,157851777X,9781578517770,"Origin of Wealth: Evolution, Complexity, and the Radical Remaking of Economics",https://www.amazon.com/dp/157851777X,"Brand: Harvard Business Review Press","Harvard Business Review Press","Harvard Business Review Press",2006-06-01,1,527,548154,$29.87,180,940,620,210,950,650,150,213,"Harvard Business Review Press",,6,21,0,0,11
"Library - Family Room - Bookcase 6",0135153476,5.39,0.00,3.99,3.99,,1.99,3.00," ",0135153476,9780135153475,"Kindle my heart: Wisdom and inspiration from a living master",https://www.amazon.com/dp/0135153476,,"Prentice Hall Press","Prentice Hall Press",1989,"First Edition",,2094280,$8.92,60,910,690,80,910,40,700,,"Prentice Hall Press",,9,26,3,0,11
"Library - Family Room - Bookcase 6",1556238606,4.99,0.00,3.96,,,1.29,,5.99,1556238606,9781556238604,"Bogle On Mutual Funds: New Perspectives for the Intelligent Investor",https://www.amazon.com/dp/1556238606,McGraw-Hill,McGraw-Hill,McGraw-Hill,1993-09-01,1,320,1241270,$4.85,140,910,630,140,910,640,95,0,McGraw-Hill,$9.90,15,98,4,0,11
"Library - Family Room - Bookcase 6",1439190976,2.79,3.98,0.00,0.00,0.00,7.75,6.77,7.66,1439190976,9781439190975,"The Firm: The Story of McKinsey and Its Secret Influence on American Business",https://www.amazon.com/dp/1439190976,"Brand: Simon n Schuster","Simon & Schuster","Simon & Schuster",2013-09-10,1,400,426878,$8.62,120,900,630,135,900,600,130,135,"Simon & Schuster",$12.56,26,43,0,0,11
"Library - Family Room - Bookcase 6",2737317711,1.99,3.99,3.99,,0.00,2.72,,6.00,2737317711,9782737317712,"Wonderful Perigord",https://www.amazon.com/dp/2737317711,,"Editions Ouest-France","Editions Ouest-France",1996,,128,14522163,,10,1010,750,135,47,1016,760,,"Editions Ouest-France",,0,10,0,0,11
"Library - Family Room - Bookcase 6",051758512X,0.95,3.96,0.00,3.96,0.00,5.28,0.95,4.99,051758512X,9780517585122,"Self-Reliance: The Wisdom of Ralph Waldo Emerson as Inspiration for Daily Living",https://www.amazon.com/dp/051758512X,"Richard Whelan",Harmony,Harmony,1991-11-05,1st,208,858729,$4.25,60,820,550,85,830,550,60,53,Harmony,$10.14,48,96,3,0,11
"Library - Family Room - Bookcase 6",0062508342,5.99,0.00,0.00,4.49,,3.75,1.49,,0062508342,9780062508348,"The Tibetan Book of Living and Dying: The Spiritual Classic & International Bestseller: 20th Anniversary Edition",https://www.amazon.com/dp/0062508342,"Rinpoche Sogyal",HarperSanFrancisco,HarperSanFrancisco,2012-06-26,1st,444,11519,$10.77,140,900,530,140,925,538,116,98,HarperSanFrancisco,$10.77,44,273,5,0,11
"Library - Family Room - Bookcase 6",0525935843,1.80,3.94,0.00,0.00,0.00,6.00,5.67,5.99,0525935843,9780525935841,"Reinventing Your Life: How to Break Free from Negative Life Patterns",https://www.amazon.com/dp/0525935843,"Brand: Dutton Adult","Dutton Adult","Dutton Adult",1993-05-01,,384,199460,$29.98,120,910,610,145,2000,2000,2000,,"Dutton Adult",,14,43,0,0,11
"Library - Family Room - Bookcase 6",0060194669,1.44,3.99,4.65,,3.99,0.72,,7.50,0060194669,9780060194666,"Chameleon: A Novel",https://www.amazon.com/dp/0060194669,,Harper,Harper,2002-03-26,1st,400,785096,$31.24,160,910,610,150,900,600,125,,Harper,,7,17,3,0,11
"Library - Family Room - Bookcase 6",0874515726,7.45,0.00,4.99,3.99,,10.90,3.46,,0874515726,9780874515725,"Cargill: Trading the World’s Grain",https://www.amazon.com/dp/0874515726,,Dartmouth,Dartmouth,1992-02-15,1st,1027,1071353,$9.99,240,910,670,320,950,650,250,,Dartmouth,$41.86,11,46,3,0,11
"Library - Family Room - Bookcase 6",0471086274,4.99,0.00,0.00,,3.99,5.99,,3.50,0471086274,9780471086277,"Valuation: Measuring and Managing the Value of Companies (Frontiers in Finance Series)",https://www.amazon.com/dp/0471086274,,Wiley,Wiley,1995-08-18,2,576,956888,$14.10,160,890,610,180,943,632,150,,Wiley,,6,37,1,0,11
"Library - Family Room - Bookcase 6",0884271153,4.92,0.00,0.00,3.96,,4.99,1.09,,0884271153,9780884271154,"It's Not Luck",https://www.amazon.com/dp/0884271153,"North River Pr","North River Pr","North River Pr",1994-10-01,1,283,137654,$6.90,70,890,600,95,900,600,75,106,"North River Pr",$12.20,47,183,3,0,11
"Library - Family Room - Bookcase 6",0195112083,4.99,0.00,0.00,3.99,,4.99,0.01,,0195112083,9780195112085,"A Passion for Wisdom: A Very Brief History of Philosophy",https://www.amazon.com/dp/0195112083,"Robert C Solomon Kathleen M Higgins","Oxford University Press","Oxford University Press",1997-05-01,1,160,1319844,$15.85,80,840,580,85,850,575,70,75,"Oxford University Press",$26.09,22,36,0,0,11
"Library - Family Room - Bookcase 6",074322423X,3.99,0.00,0.00,,,4.99,,,074322423X,9780743224239,"Self Matters : Creating Your Life from the Inside Out",https://www.amazon.com/dp/074322423X,"Simon & Schuster","Simon & Schuster","Simon & Schuster",2001-11-13,1,318,221287,$1.01,110,930,600,125,975,650,100,300,"Simon & Schuster",$3.75,158,656,20,0,11
"Library - Family Room - Bookcase 6",0029152917,1.99,3.99,0.00,3.99,0.00,5.84,1.85,5.99,0029152917,9780029152911,"Competing Against Time : How Time-based Competition is Reshaping Global Markets",https://www.amazon.com/dp/0029152917,,"Free Press","Free Press",1990-03-01,29th,285,850773,$27.50,110,941,626,105,950,650,75,,"Free Press",$31.60,14,72,0,0,11
