status1,ean,asin,brand,Weblink,product_description,image_location,Amazon_Item_model_number,Amazon_Bestsellers_Rank,Bullet_Description,Amazon_Landed_Price,IPG_Cat_Desc_1_name,IPG_Cat_Desc_1_P,Item_Weight,Dimensions,shipping_weight,ProductDimensions
56,766416183316,B000Q93ADE,Snazaroo,https://www.amazon.co.uk/dp/B000Q93ADE,"Get into bright colours with this Snazaroo 18ML pot of water based face and body paint in Electric Blue. Fun, safe, easy application and simple to remove! Great if you're dressing up just don't forget your application sponge!",https://images-eu.ssl-images-amazon.com/images/I/61gPZxcioqL.jpg,1118331,70996,"Suitable for sensitive skin-Snazaroo face paints are formulated to be friendly to the delicate skin and are fragrance free,All Snazaroo face paints have been reviewed by an independent professor of dermatology and professional toxicologists,Washable-Snazaroo face paints are all water based; this makes them as easy to get off as they are to put on,Simply remove with soap and warm water; there is no need for scrubbing or harsh removers,Made in the UK all Snazaroo face paint is manufactured in the UK using only approved ingredients fully compliant with the US Food and Drug Administration (FDA) and toy and cosmetic regulationsand are non-toxic",1.99,"Party Hats, Masks & Accessories","Arts & Crafts","63.5 g","7.5 x 7.5 x 1.5 cm","68 g",
56,766416189776,B000QB6KW0,Snazaroo,https://www.amazon.co.uk/dp/B000QB6KW0,"18ml pot of rust face paint from the Snazaroo range.",https://images-eu.ssl-images-amazon.com/images/I/51QBbKZqhvL.jpg,1118977,1066,"Suitable for sensitive skin - Snazaroo face paints are formulated to be friendly to the delicate skin and are fragrance free,Face paints have been reviewed by an independent professor of dermatology and professional toxicologists,Washable - Snazaroo face paints are all water based, this makes them as easy to get off as they are to put on,Simply remove with soap and warm water, there is no need for scrubbing or harsh removers,All Snazaroo face paint is manufactured in the UK using only approved ingredients fully compliant with the US Food and Drug Administration (FDA) and toy and cosmetic regulations and are non-toxic",2.50,Costumes,Accessories,,"7.5 x 7.5 x 1.5 cm","59 g",
56,766416189998,B000H6W2EO,Snazaroo,https://www.amazon.co.uk/dp/B000H6W2EO,"Dark Brown Classic 18ml Makeup for Makeup Face Body Paint Fancy Dress",https://images-eu.ssl-images-amazon.com/images/I/51godfF5XhL.jpg,1118999,261,"Good quality paint in a 18 ml pot,Skin friendly. Easy to apply and remove,Good for all your special occasions and festivities,Fully compliant with the EU (European Union) and FDA (Food and Drug Administration) toy and cosmetic regulations,Packaging may vary",2.60,"Toys Special Offers","Arts & Crafts","59 g","7.5 x 7.5 x 1.5 cm","59 g",
56,766416464446,B0019HNG72,Snazaroo,https://www.amazon.co.uk/dp/B0019HNG72,"<br /> With Snazaroo you can find a complete step by step guide to face and body painting made from the finest ingredients. They are all water-based so they are easy and quick to remove, simply wash off with warm soapy water or use gentle face wipes.<br /> To use Snazaroo glitter dust, step one: dab your finger or brush into the pot. Step two: apply Snazaroo glitter dust over your paint base or combine with any Snazaroo glitter gels for a stronger more vibrant impact. Step three: done and have fun. So whether it's the wicked witch from the west or wanting to conquer the ship with the pirate's adventures, letting your child's imagination run wild has never been more fun.",https://images-eu.ssl-images-amazon.com/images/I/61KcBmN0-JL.jpg,1113444,15389,"Excellent quality glitter dust in a 12ml pot.,Skin friendly.,Easy to apply and remove.,Perfect for all your special occasions and festivities.,Fully compliant with the EU (European Union) and FDA (Food and Drug Administration) toy and cosmetics regulations.",3.43,"Party Supplies",Accessories,"9.07 g","13 x 9.5 x 3.5 cm","9.1 g",
56,715891114513,B001C4RTP2,"Super Sculpey",https://www.amazon.co.uk/dp/B001C4RTP2,"<br><P><FONT face=""Arial, Helvetica, sans-serif""><FONT size=2><STRONG>The Ultimate Sculpting Compound!<BR>Used by Movie Studios and Professionals Worldwide<BR>A Favorite with Doll Makers </STRONG><BR><BR><STRONG><FONT color=#ff0000><STRONG><FONT color=#ff0000>SUPER SCULPEY - Extra-Firm Gray Sculpting Compound - Super Sculpey FIRM - 453.6 gr (1 lb.) - SS1</STRONG></FONT></STRONG></FONT></FONT></FONT><BR><BR><FONT face=""Arial, Helvetica, sans-serif"" size=2><STRONG>Super Sculpey FIRM :</STRONG><BR></FONT><FONT face=""Arial, Helvetica, sans-serif""><FONT size=2><STRONG><FONT color=#ff3300>Many Sculptors desire an extra firm clay that can be ""carved"" and used for projects that require fine details. Super Sculpey FIRM is the extra firm sculpting clay that is gray in color, allowing sculptors to create fine details and photographers to catch these fine points on film. Unique in both form and color, this new sculpting clay brings creative options to the sculpting world. </FONT></STRONG><BR><BR><STRONG>History</STRONG> In response to the popularity of Sculpey, Super Sculpey was formulated. Users required a clay of greater tensile strength and Super Sculpey was the answer.<BR><BR><STRONG>Characteristics</STRONG><BR>In color, Super Sculpey is a translucent pink-beige only. Like Sculpey, Super Sculpey is an easy to condition polymer requiring minimal hand kneading or rolling through a pasta machine to prepare for use. It features fine tooling and detailing characteristics, and does not ""fill in"" after tooling. If you opt to paint your cured piece, we recommend acrylic paint or the application of water based glaze prior",https://images-eu.ssl-images-amazon.com/images/I/516kQDbgx9L.jpg,SS1SCULP,36329,"For many sculptors who want a clay they can carve, tool and detail with none of the blurring and bending found in softer polymer clays,Extra firm sculpting clay in grey colour, easy for sculptors and photographers to see the tiniest detail,Studio Grey,Sculpey is a polymer clay, loved by artists, dollmakers and animation studios,After curing in the oven, Super Sculpey can be sanded, drilled carved and painted with water-based acrylic paints",10.75,Sculpting,"Arts & Crafts","467 g","5.1 x 6.1 x 14 cm","476 g",
56,5050489068157,B01BTZ5YYQ,"Simply Creative",https://www.amazon.co.uk/dp/B01BTZ5YYQ,"Simply Creative-So Chic Paper Pad. The ideal addition to any paper crafting project! This pad contains twenty 12x12 inch sheets in fifteen different designs. Acid free. Imported.",https://images-eu.ssl-images-amazon.com/images/I/61%2B%2Bw%2BmkrUL.jpg,SCPAD005,582147,"The 12"" x 12"" paper pack includes includes 20 sheets of 15 designs, 5 double sided,200 GSM Cardstock, Acid  Free",3.88,"Decorative Paper",Paper,"386 g","0.8 x 32.4 x 32 cm","399 g",
56,884955001691,B003T0VFA2,"Winsor & Newton",https://www.amazon.co.uk/dp/B003T0VFA2,"These varnishes protect your artwork from airborne pollutants and UV damage to prevent fading.",https://images-eu.ssl-images-amazon.com/images/I/41Z7utZ2MuL.jpg,3030931,22830,"Artists' Acrylic Satin UV Varnish,Protects art from airborne pollutants, UV damage and fading,Dries to an even satin finish",7.55,Painting,"Arts & Crafts","154 g","10.8 x 4.4 x 4.4 cm","159 g",
56,94376899986,B00SAIOEII,,https://www.amazon.co.uk/dp/B00SAIOEII,,https://images-eu.ssl-images-amazon.com/images/I/41xMITU4BHL.jpg,ALV25341,,,,"Pen Refills","Pens & Refills","1.22 Kg",NA,"1.2 Kg",NA
56,94376991260,B003SED38G,"Winsor & Newton",https://www.amazon.co.uk/dp/B003SED38G,"Brilliant colour that stays brilliant!</P><P></P><P>The full range of 80 colours is available in 60ml tubes and a range of colours are available in 200ml offering an unrivalled richness, intensity and depth of colour.</P><P></P><P>Not only are the colours brilliant when wet but they remain as bright when they are dry due to their high pigment strength, single highest quality pigments and a new revolutionary transparent binder. Formulated to allow for a longer working time, with no colour shift or darkening of tone, what you see is what you get!",https://images-eu.ssl-images-amazon.com/images/I/4189iQommQL.jpg,2337502,213545,"Our highest quality professional acrylic with unrivalled colour brilliance that stays brilliant when wet & dry.,Series: 3 / Colour Code: 502 / Colour Index: PV19,Permanence: A / Opacity: Transparent,Includes a 6.75oz / 200ml tube of Winsor & Newton Professional Acrylic Colour,Conforms to ASTM D4236",21.96,Paints,Painting,"259 g","4.9 x 4.9 x 21.8 cm","259 g",
56,884955001851,B0060KRND6,"Winsor & Newton",https://www.amazon.co.uk/dp/B0060KRND6,"This Flow Improver increases flow of colour, allowing the application of areas of flat colour, whilst maintaining stability. It slows drying and increases levelling and is available in two sizes.</P><P></P><P>Product Image is the 125ml version.",https://images-eu.ssl-images-amazon.com/images/I/41cp36EOHnL.jpg,3040937,15059,"Increases the flow of acrylic colours,Effective for hard edge painting techniques,Maintains the stability of the colour and slightly slows drying",12.00,Paints,Painting,"290 g","15.8 x 5.9 x 5.9 cm","295 g",
56,884955017364,B005R1S5ZY,"Winsor & Newton",https://www.amazon.co.uk/dp/B005R1S5ZY,"A liquid with added pigmentation for masking areas of work needing protection when colour is applied in broad washes.</P><P>For best results - remove as soon as possible after application.",https://images-eu.ssl-images-amazon.com/images/I/41BtHab%2B%2BRL.jpg,WN3039759,42328,"Liquid composed of rubber latex and pigment, for masking areas,Do not apply on damp or soft sized paper,Brushes can be cleaned",11.90,"Technical Drawing Supplies","Pens, Pencils & Writing Supplies","281 g","14.5 x 8 x 5 cm","281 g",
56,884955015575,B00BM7IE7G,"Winsor & Newton",https://www.amazon.co.uk/dp/B00BM7IE7G,"A highly refined essential oil used as a diluent (thinner) for oil colours and cleaning brushes. Turpentine is a water white, volatile flammable liquid that posesses greater wetting properties than white spirit. Store in the dark in full bottles as exposure to air and light causes thickening.",https://images-eu.ssl-images-amazon.com/images/I/41Z1fIu2ChL.jpg,WN3039744,15117,"English Distilled Turpentine,The only artists' grade solvent capable of easily dissolving Dammar resin,250ml",8.50,"Technical Drawing Supplies","Pens, Pencils & Writing Supplies","299 g","14.6 x 8 x 5 cm","399 g",
56,884955017166,B005R1SH9I,"Winsor & Newton",https://www.amazon.co.uk/dp/B005R1SH9I,"A low odour diluent alternative to Artists White Spirit. Sansodor is slow to evaporate and therefore useful in controlling Griffin Alkyd and oil colours. Low flammability.",https://images-eu.ssl-images-amazon.com/images/I/4103LHY9W2L.jpg,WN3039757,44017,"Low odour solvent which evaporates slowly,Increases blending time and is suitable for thinning oil colours,Suitable for oil & alkyd colour",7.99,"Technical Drawing Supplies","Pens, Pencils & Writing Supplies","281 g","14.6 x 8 x 5 cm","281 g",
56,5012572008846,B005HHI5AI,"Winsor & Newton",https://www.amazon.co.uk/dp/B005HHI5AI,"Originally a sketcher's product these superior quality canvas boards feature canvas laminated onto high quality boards of excellent stability.</P><P></P><P> They are stretched by hand for correct tension with tailored corners and are triple coated with one coat of acid free sizing and two coats of highly pigmented primer. This helps to give the boards a balanced absorbency and tooth which prevents sinking of oil colours and improves adhesion.</P><P></P><P> The medium grain surface is ideal for all techniques including heavier applications of colour. Artists' Canvas Board is prepared for immediate use and is suitable for use with oil (including water mixable oil), alkyd and acrylic colours.",https://images-eu.ssl-images-amazon.com/images/I/51QN3Us3N4L.jpg,WN6224134,77701,"Canvas laminated onto high quality board,Stretched by hand for correct tension,Prepared for immediate use and is suitable for use with oil",14.91,"Technical Drawing Supplies",Canvas,"499 g","76 x 50 x 0.6 cm","1.2 Kg",
56,50730438,A,,https://www.amazon.co.uk/dp/A,,,,,,,,,,A,,NA
56,50904037,A,,https://www.amazon.co.uk/dp/A,,,,,,,,,,A,,NA
56,50904082,B001E1TGMM,"Winsor & Newton",https://www.amazon.co.uk/dp/B001E1TGMM,"Winton Oil Colour has been developed to provide the highest quality colours at an affordable price. The application of traditional skills and modern colour chemistry techniques has resulted in a range of 47 carefully selected Winton Oil Colours. This has been achieved by replacing some of the more costly traditional pigments with excellent modern alternatives that give high quality at an economical price.",https://images-eu.ssl-images-amazon.com/images/I/411jTGrbsbL.jpg,1214094,87704,"Contains one 37ml tube of Artists' Oil Colour,Perfect starter palette for the medium,Formulated to take advantage of the natural characteristics of each pigment and to ensure the stability of the colour,Good covering power and tinting strength,From Winsor & Newton",14.99,Paints,Painting,"86.2 g","2.5 x 3.9 x 10.6 cm","90.7 g",
56,50730452,B001E1TGY0,"Winsor & Newton",https://www.amazon.co.uk/dp/B001E1TGY0,"Winton Oil Colour has been developed to provide the highest quality colours at an affordable price. The application of traditional skills and modern colour chemistry techniques has resulted in a range of 47 carefully selected Winton Oil Colours. This has been achieved by replacing some of the more costly traditional pigments with excellent modern alternatives that give high quality at an economical price.",https://images-eu.ssl-images-amazon.com/images/I/41GsjegOFaL.jpg,1214214,137693,"Contains one 37ml tube of Artists' Oil Colour,Perfect starter palette for the medium,Formulated to take advantage of the natural characteristics of each pigment and to ensure the stability of the colour,Good covering power and tinting strength,From Winsor & Newton",9.20,Paints,Painting,"68 g","2.5 x 3.9 x 10.6 cm","81.6 g",
56,50904389,B001E1X63M,"Winsor & Newton",https://www.amazon.co.uk/dp/B001E1X63M,"Winton Oil Colour has been developed to provide the highest quality colours at an affordable price. The application of traditional skills and modern colour chemistry techniques has resulted in a range of 47 carefully selected Winton Oil Colours. This has been achieved by replacing some of the more costly traditional pigments with excellent modern alternatives that give high quality at an economical price.",https://images-eu.ssl-images-amazon.com/images/I/413jomKWEuL.jpg,1214263,64742,"Contains one 37ml tube of Artists' Oil Colour,Perfect starter palette for the medium,Formulated to take advantage of the natural characteristics of each pigment and to ensure the stability of the colour,Good covering power and tinting strength,From Winsor & Newton",7.90,Paints,Painting,"54.4 g","2.5 x 3.9 x 10.6 cm","68 g",
56,50730605,B001E208T6,"Winsor & Newton",https://www.amazon.co.uk/dp/B001E208T6,"Winton Oil Colour has been developed to provide the highest quality colours at an affordable price. The application of traditional skills and modern colour chemistry techniques has resulted in a range of 47 carefully selected Winton Oil Colours. This has been achieved by replacing some of the more costly traditional pigments with excellent modern alternatives that give high quality at an economical price.",https://images-eu.ssl-images-amazon.com/images/I/410Ga-BRRWL.jpg,1214511,221344,"Contains one 37ml tube of Artists' Oil Colour,Perfect starter palette for the medium,Formulated to take advantage of the natural characteristics of each pigment and to ensure the stability of the colour,Good covering power and tinting strength,From Winsor & Newton",7.21,Paints,Painting,"45.4 g","2.5 x 3.9 x 10.6 cm","49.9 g",
56,50730636,A,,https://www.amazon.co.uk/dp/A,,,,,,,,,,A,,NA
