ean,asin,Weblink,product_description,image_location,Amazon_Item_model_number,Amazon_Bestsellers_Rank,Bullet_Description,Amazon_Landed_Price,IPG_Cat_Desc_1_name,IPG_Cat_Desc_1_P,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight
0094376550399,B0014ZNJGW,https://www.amazon.com/dp/B0014ZNJGW,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P>Color number: 322</P><P>Series number: 1</P><P>Chemical description: Carbon black, Quinacridone, Copper phthalocyanine</P><P>Color index name: PBk 6, PV19, PB 15</P><P>Color index number: 77266, 46500, 74160</P><P>Permanence rating: A</P><P>ASTM lightfastness rating: II</P><P>Transparency/Opacity: O</P><P>Granulating/Staining: St",https://images-eu.ssl-images-amazon.com/images/I/41CiJJKd6zL.jpg,0101322,194966,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 322 / Colour Index: PBk 6, PV19, PB 15,Permanence: A / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,Paints,Painting,0.39,2.76,1.57,0.02,0.43,0.75,0.63,0.02
0094376550405,B0014ZNJH6,https://www.amazon.com/dp/B0014ZNJH6,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P> Color number: 331</P><P>Series number: 1</P><P>Chemical description: Bone black</P><P>Color index name: PBk 9</P><P>Color index number: 77267</P><P>Permanence rating: AA</P><P>ASTM lightfastness rating: I</P><P>Transparency/Opacity: O</P><P>Granulating/Staining: G",https://images-eu.ssl-images-amazon.com/images/I/41OgPac79QL.jpg,0101331,51269,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 331 / Colour Index: PBk 9,Permanence: AA / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",2.70,Paints,Painting,0.39,2.2,0.87,0.02,0.43,0.75,0.63,0.02
0094376550436,B0014ZQQ0S,https://www.amazon.com/dp/B0014ZQQ0S,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P> Color number: 337</P><P>Series number: 1</P><P>Chemical description: Carbon black</P><P>Color index name: PBk 6/7</P><P>Color index number: 77266</P><P>Permanence rating: AA</P><P>ASTM lightfastness rating: I</P><P>Transparency/Opacity: O",https://images-eu.ssl-images-amazon.com/images/I/416q2J-WGmL.jpg,0101337,29760,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 337 / Colour Index: PBk 6/7,Permanence: AA / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,"Technical Drawing Supplies",Painting,0.5,2,1,0.02,0.43,0.75,0.63,0.02
0094376550412,B0014ZSH3M,https://www.amazon.com/dp/B0014ZSH3M,"Winsor & Newton has a reputation for supreme quality since the 1830's. Artists' Watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.",https://images-eu.ssl-images-amazon.com/images/I/51tcWTzQcPL.jpg,0101347,214704,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 4 / Colour Code: 347 / Colour Index: PY 53,Permanence: AA / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",6.95,Paints,Painting,0.24,1.73,1.02,0.02,0.43,0.75,0.63,0.01
0094376550429,B0014ZOPGA,https://www.amazon.com/dp/B0014ZOPGA,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P>Color number: 362</P><P>Series number: 1</P><P>Chemical description: Natural iron oxide</P><P>Color index name: PR 102</P><P>Color index number: 77491</P><P>Permanence rating: AA</P><P>ASTM lightfastness rating: N/L</P><P>Transparency/Opacity: SO",https://images-eu.ssl-images-amazon.com/images/I/418RrZmLDsL.jpg,0101362,223451,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 362 / Colour Index: PR 102,Permanence: AA / Opacity: Semi-opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,Paints,Painting,0.43,0.75,0.63,0.05,0.43,0.75,0.63,0.02
0094376550443,B00BHY633G,https://www.amazon.com/dp/B00BHY633G,"For over 175 years Winsor & Newton have been dedicated to providing artists with the widest possible choice of colours.</P><P></P><P>Made from the finest pigments in the highest concentrations possible and offering the greatest possible permanence together with good handling qualities, this range of superior water colours is sure to bring vibrant colour to any watercolour painting.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.",https://images-eu.ssl-images-amazon.com/images/I/51x7L3%2BUk2L.jpg,0101379,216082,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 2 / Colour Code: 379 / Colour Index: PB 15,Permanence: A / Opacity: Semi-opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",5.22,Paints,Painting,0.31,2.68,1.57,0.09,0.43,0.75,0.63,0.02
0094376550450,B005KM1N86,https://www.amazon.com/dp/B005KM1N86,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P>Color number: 422</P><P>Series number: 1</P><P>Chemical description: Titanium dioxide, Chromium titanate</P><P>Color index name: PW 6, PBr 24</P><P>Color index number: 77891, 77310</P><P>Permanence rating: AA</P><P>ASTM lightfastness rating: I</P><P>Transparency/Opacity:",https://images-eu.ssl-images-amazon.com/images/I/51vDHvCKZcL.jpg,0101422,121864,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 422 / Colour Index: PW 6, PBr 24,Permanence: AA / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,"Technical Drawing Supplies",Painting,2.4,7,4.8,0.02,0.43,0.75,0.63,0.01
0094376550467,B0014ZOPJ2,https://www.amazon.com/dp/B0014ZOPJ2,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P>Color number: 425</P><P>Series number: 1</P><P>Chemical description: Chromium titanate</P><P>Color index name: PBr 24</P><P>Color index number: 77310</P><P>Permanence rating: AA</P><P>ASTM lightfastness rating: I</P><P>Transparency/Opacity: O",https://images-eu.ssl-images-amazon.com/images/I/51iMV%2Balp%2BL.jpg,101425,295482,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 425 / Colour Index: PBr 24,Permanence: AA / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,Paints,Painting,0.3,1,1,0.02,0.43,0.75,0.63,0.02
0094376550474,B0014ZU4K6,https://www.amazon.com/dp/B0014ZU4K6,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P> Color number: 430</P><P>Series number: 1</P><P>Chemical description: Copper phthalocyanine, Carbon black, Quinacidone</P><P>Color index name: PB 15, PBk 6, PV 19</P><P>Color index number: 74160, 77266, 46500</P><P>Permanence rating: A</P><P>ASTM lightfastness rating: II</P><P>Transparency/Opacity: O</P><P>Granulating/Staining: St",https://images-eu.ssl-images-amazon.com/images/I/41Zut6sR54L.jpg,0101430,119559,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 430 / Colour Index: PB 15, PBk 6, PV 19,Permanence: A / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,Paints,Painting,0.5,1.9,0.9,0.02,0.43,0.75,0.63,0.02
0094376550498,B0014ZOPBK,https://www.amazon.com/dp/B0014ZOPBK,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.",https://images-eu.ssl-images-amazon.com/images/I/51dIrCBFMEL.jpg,0101267,242494,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 267 / Colour Index: PY 153,Permanence: A / Opacity: Semi-transparent,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,Paints,Painting,0.79,2.76,1.77,0.04,0.43,0.75,0.63,0.02
0094376550511,B005KMAPJE,https://www.amazon.com/dp/B005KMAPJE,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P>Color number: 447</P><P>Series number: 1</P><P>Chemical description: Synthetic iron oxide, Chlorinated copper phthalocyanine</P><P>Color index name: PY 42, PG7</P><P>Color index number: 77492, 74260</P><P>Permanence rating: A</P><P>ASTM lightfastness rating: I</P><P>Transparency/Opacity: T</P><P>Granulating/Staining: St",https://images-eu.ssl-images-amazon.com/images/I/41d1nvD4lhL.jpg,0101447,131287,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 447 / Colour Index: PY 42, PG7,Permanence: A / Opacity: Transparent,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",5.54,Paints,Painting,0.3,2,1,0.02,0.43,0.75,0.63,0.02
0094376955392,B00CWBCCTM,https://www.amazon.com/dp/B00CWBCCTM,"Made from the finest pigments in the highest concentrations possible and offering the greatest permanence together with good handling qualities, this popular range of 96 Winsor & Newton Artists' Watercolours, is sure to bring a new level of beautiful colour to your work.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P>Color number: 448</P><P>Series number: 2</P><P>Chemical description: Fluorescent dye/resin based pigment, Quinacridone</P><P>Color index name: - , PR122</P><P>Color index number: - , 73915</P><P>Permanence rating: B</P><P>Transparency/Opacity: ST",https://images-eu.ssl-images-amazon.com/images/I/51w3jl5KNCL.jpg,0101448,135025,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 2 / Colour Code: 448 / Colour Index: - , PR122,Permanence: B / Opacity: Semi-transparent,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",5.05,Paints,Painting,0.51,2.76,1.65,0.02,0.43,0.75,0.63,0.01
0094376550528,B005KMCGO6,https://www.amazon.com/dp/B005KMCGO6,"Winsor & Newton has a reputation for supreme quality since the 1830's. Artists' Watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P>Color number: 459</P><P>Series number: 3</P><P>Chemical description: Chromium oxide</P><P>Color index name: PG 17</P><P>Color index number: 77288</P><P>Permanence rating: AA</P><P>ASTM lightfastness rating: I</P><P>Transparency/Opacity: O</P><P>Granulating/Staining: G/St",https://images-eu.ssl-images-amazon.com/images/I/513taMZIhWL.jpg,0101459,226357,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 3 / Colour Code: 459 / Colour Index: PG 17,Permanence: AA / Opacity: Opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",5.22,Paints,Painting,0.47,2.76,1.57,0.02,0.43,0.75,0.63,0.01
0094376550535,B0014ZNJQW,https://www.amazon.com/dp/B0014ZNJQW,"Winsor & Newton Artists' Watercolours are truly an unparalleled watercolour range!</P><P></P><P>With a reputation for supreme quality since the 1830's, this range of artists' watercolours are made from the finest pigments available in the highest concentrations possible, consistent with good handling qualities.</P><P></P><P>Winsor & Newton Artists' Watercolours are available in both tubes and pans. Generally tube colours are preferred by artists using large quantities of colour, whilst pans generally find favour with beginners, outdoor sketchers and artists using smaller quantities.</P><P></P><P>Color number: 465</P><P>Series number: 1</P><P>Chemical description: Copper phthalocyanine, Carbon black, Quinacridone</P><P>Color index name: PB 15, PBk 6, PV 19</P><P>Color index number: 74160, 77266, 46500</P><P>Permanence rating: A</P><P>ASTM lightfastness rating: II</P><P>Transparency/Opacity: SO</P><P>Granulating/Staining: St",https://images-eu.ssl-images-amazon.com/images/I/415M-kDmc2L.jpg,0101465,119871,"The finest water colour offering the widest choice of pigments & the highest possible permanence.,Series: 1 / Colour Code: 465 / Colour Index: PB 15, PBk 6, PV 19,Permanence: A / Opacity: Semi-opaque,Includes a half pan of Winsor & Newton Professional Water Colour,Conforms to ASTM D4236",4.39,Paints,Painting,0.5,1.9,0.9,0.02,0.43,0.75,0.63,0.01
